Name (caveats to the data),RTG $,Oil/Water Used,Type of Fish,Latin Name,Country Origin,Brand,Has Salt,Has Sugar,Sauce/Inclusions,Boneless,Skinless,Pieces/Tin,Tin Size (in grams unless otherwise noted),Tin Size (in oz unless otherwise noted),Smoked,Grilled/Seared,Citrus,Garlic,Chili Pepper,Tomato,Dairy,Gluten,Organic,Kosher Cert,Servings/tin,Sodium/Serv (mg),% RDA Sodium,,Judged Score,
Conservas de Cambados White Tuna Belly (Ventresca) Fillets in Olive Oil,21.5,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Conservas de Cambados,Yes,No,None,NA,NA,NA,111,4,No,No,No,No,No,No,No,No,No,None,1,270,12,,,
Conservas de Cambados White Tuna in Olive Oil,13.25,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Conservas de Cambados,Yes,No,None,NA,NA,NA,111,4,No,No,No,No,No,No,No,No,No,None,1,270,11,,,
Don Bocarte Anchovy Fillets in Extra Virgin Olive Oil 6/7,18.5,Extra Virgin Olive Oil,Anchovy,Engraulis encrasicolus,Spain,Don Bocarte,Yes,No,None,Yes,Yes,6/7,48,1.69,No,No,No,No,No,No,No,No,No,None,2,480,20,,,
Don Bocarte Sliced Bonita Del Norte (Lomo Laminado),16.5,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Don Bocarte,Yes,No,None,NA,NA,NA,120,4.23,No,No,No,No,No,No,No,No,No,None,2,230,10,,,
Don Bocarte Ventresca Bonito Del Norte,73,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Don Bocarte,Yes,No,None,NA,NA,NA,190,6.7,No,No,No,No,No,No,No,No,No,None,3,220,9,,,
Don Bocarte Wild Bluefin (Atun Rojo) Belly (Ventresca) in Olive Oil,44.5,Olive Oil,"Tuna, Bluefin",Thunnus thynnus,Spain,Don Bocarte,Yes,No,None,Yes,Yes,NA,120,4.23,No,No,No,No,No,No,No,No,No,None,2,230,10,,,
Don Gastronom (La Narval) Octopus with Garlic in Sunflower Oil,12,Sunflower Oil,Octopus,Eledone cirrhosa,Spain,Don Gastronom,Yes,No,Garlic,NA,NA,NA,110,3.8,No,No,No,Yes,No,No,No,No,No,None,1,330,15,,,
Don Gastronom (La Narval) Scallops in Vieira Sauce,9.5,Sunflower Oil,Small Scallops,,Spain,Don Gastronom,Yes,No,"tomato, onion, spices, and salt.",NA,NA,Unstated,110,3.8,No,No,No,No,N,Yes,No,No,No,None,1,520,25,,,
Don Gastronom (La Narval) Yellowfin Tuna with Honey and Mustard,8,Sunflower Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,Don Gastronom,Yes,Yes,"mustard, honey",NA,NA,NA,110,3.8,No,No,No,No,No,No,No,No,No,None,1,570,25,,,
Don Gastronom (La Narval) Yellowfin Tuna with Lemon,8,Sunflower Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,Don Gastronom,Yes,No,lemon,NA,NA,NA,110,3.8,No,No,Yes,No,No,No,No,No,No,None,1,460,20,,,
Don Gastronom (La Narval) Yellowfin Tuna with Orange and Clove,8,Sunflower Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,Don Gastronom,Yes,No,"orange, clove",NA,NA,NA,110,3.8,No,No,Yes,No,No,No,No,No,No,None,1,390,15,,,
Don Gastronom (La Narval) Yellowfin Tuna with Tomato and Basil,8,Sunflower Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,Don Gastronom,Yes,No,"tomato, basil",NA,NA,NA,110,3.8,No,No,No,No,N,Yes,No,No,No,None,1,210,10,,,
Don Gastronom Cockles in Brine 55/65,15,Water,Cockles,Cerastoderma edule,Spain,Don Gastronom,Yes,No,None,NA,NA,55/65,110,3.8,No,No,No,No,No,No,No,No,No,None,1,370,15,,,
Don Gastronom Fried Small Mussels in Escabeche 12/16,8,Sunflower Oil,Mussels,Mytilus galloprovincialis,Spain,Don Gastronom,Yes,No,Escabeche,NA,NA,12/16,110,3.8,No,No,No,No,No,No,No,No,No,None,1,420,20,,,
Don Gastronom Galician Clams in Brine,27,Water,"Clam, White",Venerupis corrugate,Spain,Don Gastronom,Yes,No,None,NA,NA,25/30,110,3.8,No,No,No,No,No,No,No,No,No,None,1,350,15,,,
Don Gastronom Mackerel Fillets in Olive Oil 4/6,6,Olive Oil,Mackerel,Scomber australascos,Spain,Don Gastronom,Yes,No,None,Yes,Yes,4/6,110,3.8,No,No,No,No,No,No,No,No,No,None,1,150,6,,,
Don Gastronom Mackerel Fillets in Tomato Sauce 4/6,6,Sunflower Oil,Mackerel,Scomber australascos,Spain,Don Gastronom,Yes,No,Tomato,Yes,Yes,4/6,120,3.8,No,No,No,No,No,Yes,No,No,No,None,1,200,8,,,
Don Gastronom Octopus in Spiced Sunflower Oil,12,Sunflower Oil,Octopus,Eledone cirrhosa,Spain,Don Gastronom,Yes,No,Spiced/Spicy,NA,NA,Unstated,110,3.8,No,No,No,No,No,No,No,No,No,None,1,330,15,,,
Don Gastronom Razor Clams in Brine 6/8,14,Water,"Clam, Razor",Ensis siliqua,Spain,Don Gastronom,Yes,No,None,NA,NA,6/8,110,3.8,No,No,No,No,No,No,No,No,No,None,1,370,15,,,
Don Gastronom Small Sardines in Olive Oil 10/12,8,Olive Oil,Sardines,Sardina pilchardus,Spain,Don Gastronom,Yes,No,None,No,No,10/12,120,4.23,No,No,No,No,No,No,No,No,No,None,1,490,20,,,
Don Gastronom Squid Pieces in Ink Sauce,5.5,Sunflower Oil,Squid,Dosidicus gigas spp.,Spain,Don Gastronom,Yes,No,Ink,NA,NA,Unstated,110,3.8,No,No,No,No,No,No,No,No,No,None,1,300,15,,,
Don Gastronom Whole Stuffed Squids in Ink Sauce 4/6,13.5,Sunflower Oil,Squid,Loligo gahi,Spain,Don Gastronom,Yes,No,Ink,NA,NA,4/6,110,3.8,No,No,No,No,No,No,No,No,No,None,1,300,15,,,
Don Gastronom Yellowfin Tuna Loin in Olive Oil,10.75,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,Don Gastronom,Yes,No,None,NA,NA,NA,110,3.8,No,No,No,No,No,No,No,No,No,None,1,224,8,,,
Don Gastronom Yellowfin Tuna Ventresca in Olive Oil,14.5,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,Don Gastronom,Yes,No,None,NA,NA,NA,110,3.8,No,No,No,No,No,No,No,No,No,None,1,224,8,,,
Eagle Coin Fried Dace,6.5,Soybean Oil,Dace,?,China,Eagle Coin,Yes,Yes,Soy Sauce,NA,NA,NA,180,6.3,No,No,No,No,No,No,No,Yes,No,None,3,360,16,,,
Eagle Coin Fried Dace with Dried Bean Curd,6.5,Soybean Oil,Dace,?,China,Eagle Coin,Yes,Yes,Bean curd,NA,NA,NA,180,6.3,No,No,No,No,No,No,No,Yes,No,None,3.5,200,9,,,
Eagle Coin Fried Dace with Preserved Vegetables,6.5,Soybean Oil,Dace,?,China,Eagle Coin,Yes,Yes,Vegetables,NA,NA,NA,180,6.3,No,No,No,No,No,No,No,Yes,No,None,3,330,,,,
Eagle Coin Fried Dace with Salted Black Bean,6.5,Soybean Oil,Dace,?,China,Eagle Coin,Yes,Yes,Black Beans,NA,NA,NA,180,6.3,No,No,No,No,No,No,No,Yes,No,None,3,530,23,,,
Eco Food Armenia Sturgeon in Water,12,Water,Sturgeon,?,Armenia,Eco Food Armenia,Yes,No,None,No,No,Unstated,240,8.47,No,No,No,No,No,No,No,No,No,None,?,?,?,,,
"Eco Food Armenia Sturgeon Liver, Natural (in water)",12,Water,Sturgeon,?,Armenia,Eco Food Armenia,Yes,No,None,NA,NA,Unstated,240,8.47,No,No,No,No,No,No,No,No,No,None,?,?,?,,,
Ekone Oyster Company Habanero Smoked Oysters,13,Sunflower Oil,Oyster,Crassostrea gigas,USA,Ekone,Yes,Yes,None,NA,NA,Unstated,85,3,Yes,No,No,Yes,Yes,Yes,No,No,Yes,None,?,?,?,,,
Ekone Oyster Company Lemon Pepper Smoked Oysters,13,Sunflower Oil,Oyster,Crassostrea gigas,USA,Ekone,Yes,Yes,None,NA,NA,Unstated,85,3,Yes,No,Yes,Yes,No,No,No,No,Yes,None,?,?,?,,,
Ekone Oyster Company Original Smoked Oysters,13,Sunflower Oil,Oyster,Crassostrea gigas,USA,Ekone,Yes,Yes,None,NA,NA,Unstated,85,3,Yes,No,No,Yes,No,No,No,No,Yes,None,?,?,?,,,
El Capricho Anchovy Fillets in Extra Virgin Olive Oil,35,Extra Virgin Olive Oil,Anchovy,Engraulis encrasicolus,Spain,El Capricho,Yes,No,None,Yes,Yes,Unstated,95,,No,No,No,No,No,No,No,No,No,None,3,438,19,,,
"El Capricho Anchovy Fillets in Extra Virgin Olive Oil, L+ (10 Fillets)",32,Extra Virgin Olive Oil,Anchovy,Engraulis encrasicolus,Spain,El Capricho,Yes,No,None,Yes,Yes,Unstated,95,,No,No,No,No,No,No,No,No,No,None,2,438,19,,,
El Capricho Anchovy Fillets in Olive Oil,21,Olive Oil,Anchovy,Engraulis encrasicolus,Spain,El Capricho,Yes,No,None,Yes,Yes,Unstated,50,1.76,No,No,No,No,No,No,No,No,No,None,2,438,19,,,
El Capricho Anchovy Fillets in Sunflower Oil,21,Sunflower Oil,Anchovy,Engraulis encrasicolus,Spain,El Capricho,Yes,No,None,Yes,Yes,Unstated,50,1.76,No,No,No,No,No,No,No,No,No,None,2,438,19,,,
El Capricho Atun Rojo Salvaje (Bluefin Tuna) in Extra Virgin Olive Oil,26,Extra Virgin Olive Oil,"Tuna, Bluefin",Thunnus thynnus,Spain,El Capricho,Yes,No,None,Yes,Yes,NA,110,3.88,No,No,No,No,No,No,No,No,No,None,2,79,3,,,
El Capricho Bonito del Norte Fillets in EVOO,26,Extra Virgin Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,El Capricho,Yes,No,None,NA,NA,NA,210,7.41,No,No,No,No,No,No,No,No,No,None,3,121,5,,,
El Capricho Laminas Bonito del Norte (Albacore slices),21.5,Sunflower Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,El Capricho,Yes,No,None,NA,NA,NA,110,3.88,No,No,No,No,No,No,No,No,No,None,1.5,121,5,,,
El Capricho SalMŭria,35,Anchovy Extract,Anchovy,Engraulis encrasicolus,Spain,El Capricho,Yes,No,Anchovy Extract,NA,NA,NA,99.2,,No,No,No,No,No,No,No,No,No,None,NA,,,,,
El Capricho Sturgeon in EVOO,28.5,Extra Virgin Olive Oil,Sturgeon,Acipenser baerii,Spain,El Capricho,Yes,No,None,Yes,Yes,NA,110,3.88,No,No,No,No,No,No,No,No,No,None,2,209,9,,,
El Capricho Ventresca de Atun Yellowfin in Extra Virgin Olive Oil,26,Extra Virgin Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,El Capricho,Yes,No,None,NA,NA,NA,115,4,No,No,No,No,No,No,No,No,No,None,1.5,143,6,,,
El Capricho Ventresca de Bonito del Norte,35,Sunflower Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,El Capricho,Yes,No,None,NA,NA,NA,110,3.88,No,No,No,No,No,No,No,No,No,None,1.5,143,6,,,
Espinaler Baby Sardines in Olive Oil 14/16,9.5,Olive Oil,Sardines,Sardina pilchardus,Spain,Espinaler,Yes,No,None,No,No,14/16,115,4,No,No,No,No,No,No,No,No,No,None,1,434,18,,,
"Espinaler Baby Sardines in Olive Oil 20/25, Premium Line",11.5,Olive Oil,Sardines,Sardina pilchardus,Spain,Espinaler,Yes,No,None,No,No,20/25,115,4,No,No,No,No,No,No,No,No,No,None,1,434,18,,,
Espinaler Baby Sardines in Spicy Olive Oil 10/12,8,Olive Oil,Sardines,Sardina pilchardus,Spain,Espinaler,Yes,No,Spiced/Spicy,No,No,10/12,115,4,No,No,No,No,Yes,No,No,No,No,None,1,434,18,,,
Espinaler Baby Squid in Olive Oil,15.5,Olive Oil,Squid,?,Spain,Espinaler,Yes,No,None,NA,NA,Unstated,120,4,No,No,No,No,No,No,No,No,No,None,2.5,430,18,,,
Espinaler Baby Squid in Spicy Olive Oil,15.5,Olive Oil,Squid,?,Spain,Espinaler,Yes,No,Spiced/Spicy,NA,NA,Unstated,110,4,No,No,No,Yes,Yes,No,No,No,No,None,1,311,13,,,
"Espinaler Baby Squids in Olive Oil 6/8, Premium Line (chipirones en aceite de oliva)",22,Olive Oil,Squid,?,Spain,Espinaler,Yes,No,None,NA,NA,6/8,115,4,No,No,No,No,No,No,No,No,No,None,1,294,12,,,
"Espinaler Bonito del Norte (White Tuna) in Olive Oil, Classic Line",12.5,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Espinaler,Yes,No,None,NA,NA,NA,120,4,No,No,No,No,No,No,No,No,No,None,2,220,9,,,
Espinaler Bonito del Norte in Escabeche,12,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Espinaler,Yes,No,Escabeche,NA,NA,NA,112,4,No,No,No,No,No,No,No,No,No,None,2,160,7,,,
Espinaler Clams in Brine 15/20,12,Water,"Clam, White","Venerupis rhomboides, Venerupis pullastra, Ruditapes decussatusx",Spain,Espinaler,Yes,No,None,NA,NA,15/20,115,4,No,No,No,No,No,No,No,No,No,None,2,550,23,,,
"Espinaler Cockles in Brine, Premium Line, 30/35",38.5,Water,Cockles,Cerastoderma edule,Spain,Espinaler,Yes,No,None,NA,NA,30/35,115,4,No,No,No,No,No,No,No,No,No,None,2,400,19,,,
Espinaler Mussels in Escabeche (Mejillones in Escabeche) 8/10,12,Sunflower Oil,Mussels,Mytilus galloprovincialis,Spain,Espinaler,Yes,No,Escabeche,NA,NA,8/10,115,4,No,No,No,No,No,No,No,No,No,None,2.5,250,10,,,
"Espinaler Mussels in Escabeche, Premium Line, 6/8",24,Sunflower Oil,Mussels,Mytilus galloprovincialis,Spain,Espinaler,Yes,No,Escabeche,NA,NA,6/8,115,4,No,No,No,No,No,No,No,No,No,None,1,550,23,,,
Espinaler Mussels in Pickled Sauce (Mejillones in Escabeche),7.5,Sunflower Oil,Mussels,"Mytilus galloprovincialis, Mytilus edulis",Spain,Espinaler,Yes,No,Escabeche,NA,NA,13/18,115,4,No,No,No,No,No,No,No,No,No,None,2,190,8,,,
Espinaler Mussels in Spicy Escabeche (Mejillones en Escabeche Picante),7.5,Sunflower Oil,Mussels,Mytilus galloprovincialis,Spain,Espinaler,Yes,No,Spiced/Spicy Escabeche,NA,NA,Unstated,115,4,No,No,No,No,Yes,No,No,No,No,None,1,250,10,,,
Espinaler Octopus in Olive Oil,28,Olive Oil,Octopus,Octopus vulgaris,Spain,Espinaler,Yes,No,None,NA,NA,Unstated,111,4,No,No,No,No,No,No,No,No,No,None,1,332,13.8,,,
Espinaler Razor Clams (Trimmed) 4/6 Classic Line,13,Water,"Clam, Razor",?,Spain,Espinaler,Yes,No,None,NA,NA,4/6,110,4,No,No,No,No,No,No,No,No,No,None,1,726,32,,,
"Espinaler Razor Clams 5/7 Premium Line, Sálvora Island",40,Water,"Clam, Razor",?,Spain,Espinaler,Yes,No,None,NA,NA,5/7,120,4,No,No,No,No,No,No,No,No,No,None,1,320,15,,,
Espinaler Razor Clams in Brine 5/8 Classic Line,20.5,Water,"Clam, Razor",?,Spain,Espinaler,Yes,No,None,NA,NA,5/8,120,4,No,No,No,No,No,No,No,No,No,None,1,378,15.8,,,
Espinaler Sauce (Salsa Espinaler),7.5/19,Vinegar,None,,Spain,Espinaler,No,No,"Vinegar, red pepper, spices",NA,NA,NA,92ml,,,,,,,,,,,,,,,,,
"Espinaler Sauce, Extra Hotter with Habanero",7.5,Vinegar,None,,Spain,Espinaler,No,No,"vinegar, chile habanero, red pepper, cayenne pepper, and spices",NA,NA,NA,92ml,,,,,,,,,,,,,,,,,
"Espinaler Sauce, Hotter with Cayenne",7,Vinegar,None,,Spain,Espinaler,No,No,"Vinegar, red pepper, cayenne pepper, spices",NA,NA,NA,92ml,,,,,,,,,,,,,,,,,
Espinaler Scallops in Galician Sauce,11,Sunflower Oil,Scallop,Aequipecten opercularis,Spain,Espinaler,Yes,No,Galician,NA,NA,Unstated,110,4,No,No,No,No,No,Yes,No,No,No,None,1,543,22.6,,,
"Espinaler Spicy Baby Eels in Olive Oil, Premium Line",61,Olive Oil,Eel,?,Spain,Espinaler,Yes,No,Spiced/Spicy,NA,NA,NA,115,4,No,No,No,Yes,Yes,No,No,No,No,None,1,320,14,,,
Espinaler Ventresca Bonito del Norte,22.5,Olive Oil,"Tuna, Albacore",Thunnus alalunga,Spain,Espinaler,Yes,No,None,NA,NA,NA,110,4,No,No,No,No,No,No,No,No,No,None,2.5,431,18,,,
Espinaler Ventresca Bonito del Norte (Albacore Belly),38,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Espinaler,Yes,No,None,NA,NA,NA,112,4,No,No,No,No,No,No,No,No,No,None,2,220,9,,,
Espinaler Ventresca Yellowfin Tuna,16,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,Espinaler,Yes,No,None,NA,NA,NA,110,4,No,No,No,No,No,No,No,No,No,None,1,193,8,,,
Fangst Smoked Herring w/ White Pepper & Ramps (Sild No. 1 Norwegian Sea herring),11,Rapeseed Oil,Herring,Clupea harengus,Denmark,Fangst,Yes,No,"Ramps, White Pepper",Yes,No,NA,110,3.9,Yes,No,No,No,No,No,No,No,No,None,1,,,,,
"Fangst Blåmusling No. 1, Limfjord Blue Mussels Marinated w/ Dill and Fennel Seeds in Cold Pressed Rapeseed (Canola) Oil",12,Rapeseed Oil,Mussels,Mytilus edulis,Denmark,Fangst,Yes,No,"Cider Vinegar, Dill, Fennel Seeds",NA,NA,Unstated,110,3.9,No,No,No,No,No,No,No,No,No,None,1.1,1600,?,,,
"Fangst Blåmusling No. 2, Limfjord Blue Mussels Smoked in Cold Pressed Rapeseed (Canola) Oil",12,Rapeseed Oil,Mussels,Mytilus edulis,Denmark,Fangst,Yes,No,None,NA,NA,Unstated,110,3.9,Yes,No,No,No,No,No,No,No,No,None,1.1,1500,?,,,
"Fangst Danish Freshwater Trout Smoked, with Juniper and Lemon Thyme",12,Rapeseed Oil,Trout,Oncorhynchus mykiss,Denmark,Fangst,Yes,No,"Juniper, Lemon Thyme",Yes,No,Unstated,110,3.9,Yes,No,No,No,No,No,No,No,No,None,1.1,1800,?,,,
Fangst Færøsk Laks (Faroe Islands Salmon) Flash Grilled in Cold Pressed Rapeseed (Canola) Oil,12,Rapeseed Oil,Salmon,Salmo salar,Denmark,Fangst,Yes,No,None,Yes,Yes,Unstated,110,3.9,No,Yes,No,No,No,No,No,No,No,None,1.1,900,?,,,
Fangst Færøsk Laks (Faroe Islands Salmon) w/ Sea Buckthorn & Lemon Verbena,12,Rapeseed OIl,Salmon,Salmo salar,Denmark,Fangst,Yes,No,"Sea Buckthorn, Lemon Verbena",Yes,NA,NA,110,3.9,No,Yes,Yes,No,No,No,No,No,No,None,1,400,,,,
Fangst Limfjord Hjertemusling (Cockles) in Cold Pressed Rapeseed (Canola) Oil,13.5,Rapeseed,Cockles,Cerastoderma edule,Denmark,Fangst,Yes,No,None,NA,NA,Unstated,110,3.9,No,No,No,No,No,No,No,No,No,None,1,1200,,,,
"Fangst Sprat no. 1 (Smoked, with Heather & Chamomile) Baltic Sea",9.5,Rapeseed,Sprat,Sprattus sprattus,Latvia,Fangst,Yes,No,"Chamomile, Heather",No,No,Unstated,100,3.5,Yes,No,No,No,No,No,No,No,No,None,1,1400,?,,,
Fangst Sprat no. 2 (Smoked) Baltic Sea,9.5,Rapeseed,Sprat,Sprattus sprattus,Latvia,Fangst,Yes,No,None,No,No,Unstated,100,3.5,Yes,No,No,No,No,No,No,No,No,None,1,1400,?,,,
Fangst Sprat no. 4 (Allspice & Clove) Baltic Sea,9.5,Rapeseed,Sprat,Sprattus sprattus,Latvia,Fangst,Yes,No,"Allspice, Cloves",No,No,Unstated,100,3.5,No,No,No,No,No,No,No,No,No,None,1,1400,?,,,
Ferrigno La Bonne Mer Anchovies in Organic Extra Virgin Olive Oil,7,"Extra Virgin Olive Oil, Organic",Anchovy,Engraulis encrasicolus,France,Ferrigno,Yes,No,None,No,No,Unstated,69,2.43,No,No,No,No,No,No,No,No,Yes,None,?,1200,?,Per 100g,,
Ferrigno La Bonne Mer Fisherman's Anchovies,7,"Extra Virgin Olive Oil, Organic",Anchovy,Engraulis encrasicolus,France,Ferrigno,Yes,No,"Lemon, Garlic, Parsley",No,No,Unstated,69,2.43,No,No,Yes,Yes,No,No,No,No,Yes,None,?,1200,?,Per 100g,,
Ferrigno La Bonne Mer Fisherman's Sardines,7,"Extra Virgin Olive Oil, Organic",Sardine,Sardina pilchardus,France,Ferrigno,Yes,No,"Lemon, Garlic, Parsley",No,No,Unstated,135,4.76,No,No,Yes,Yes,No,No,No,No,Yes,None,?,850,?,Per 100g,,
Ferrigno La Bonne Mer Lisettes (Small Whole Mackerel) in Organic Extra Virgin Olive Oil,7.5,"Extra Virgin Olive Oil, Organic",Mackerel,Scomber scombrus,France,Ferrigno,Yes,No,None,No,No,Unstated,135,4.76,No,No,No,No,No,No,No,No,Yes,None,?,210,?,Per 100g,,
Ferrigno La Bonne Mer Mixed Seafood (Méli-mélo) in Organic Extra Virgin Olive Oil with Aromatics and Spices,9,"Extra Virgin Olive Oil, Organic","Sardines, Mussels, Squid","Sardina pilchardus, Mytillus galloprovincialis or chilensis, Dosidicus gigas or Loligo vulgaris",France,Ferrigno,Yes,No,"Onion, Garlic, Parsley, Piment d'Espelette",No,No,Unstated,100,3.52,No,No,No,Yes,No,No,No,No,Yes,None,1,1200,?,Per 100g,,
"Ferrigno La Bonne Mer Mussels with Organic Olive Oil, Garlic and Parsley",8.5,"Extra Virgin Olive Oil, Organic",Mussels,Mytillus galloprovincialis or chilensis,France,Ferrigno,Yes,No,"Garlic, Parsley",NA,NA,Unstated,100,3.52,No,No,No,Yes,No,No,No,No,Yes,None,1,1200,?,Per 100g,,
Ferrigno La Bonne Mer Sardines à l'escabèche (Sardines in Escabeche),7,Sunflower Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,Escabeche,No,No,Unstated,115,4,No,No,No,No,No,No,No,No,No,None,?,830,?,Per 100g,,
"Ferrigno La Bonne Mer Sardines à la Bastiaise (w/ Lemon, Garlic and Parsley)",7,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,"Lemon, Garlic, Parsley",No,No,Unstated,115,4,No,No,Yes,Yes,No,No,No,No,No,None,?,850,?,Per 100g,,
"Ferrigno La Bonne Mer Sardines à la Brousse (with Whey Cheese, Tomato, and Herbs)",7,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,"Cheese, Tomato",No,No,Unstated,115,4,No,No,No,No,No,Yes,Yes,No,No,None,?,880,?,Per 100g,,
Ferrigno La Bonne Mer Sardines à la Camarguaise (w/ Chorizo sausage),7,Sunflower Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,Chorizo sausage,No,No,Unstated,115,4,No,No,No,No,No,No,No,No,No,None,?,850,?,Per 100g,,
"Ferrigno La Bonne Mer Sardines à la Niçoise (w/ Peppers, Onions, Garlic)",7,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,"Peppers, Onion, Garlic",No,No,Unstated,115,4,No,No,No,Yes,Yes,No,No,No,No,None,?,850,?,Per 100g,,
Ferrigno La Bonne Mer Sardines à la Ratatouille,7,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,"Ratatouille (Tomato, Onion, Pepper, Eggplant, Zucchini)",No,No,Unstated,115,4,No,No,No,No,No,Yes,No,No,No,None,?,720,?,Per 100g,,
"Ferrigno La Bonne Mer Sardines à la Tapenade (Black Olives, Anchovies, Capers)",7,"Extra Virgin Olive Oil, Sunflower Oil",Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,"Tapenade (Black Olives, Anchovies, Capers)",No,No,Unstated,115,4,No,No,No,No,No,No,No,No,No,None,?,1510,?,Per 100g,,
"Ferrigno La Bonne Mer Sardines à la Tropezienne (w/ Tomato, Caper, Olive)",7,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,Yes,"Tomato, Caper, Olive",No,No,Unstated,115,4,No,No,No,No,No,Yes,No,No,No,None,?,880,?,Per 100g,,
Ferrigno La Bonne Mer Sardines au Citron Confit (w/ Preserved Lemon and Green Olives),7,Sunflower Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,"Preserved Lemon, Olives",No,No,Unstated,115,4,No,No,Yes,No,No,No,No,No,No,None,?,850,?,Per 100g,,
Ferrigno La Bonne Mer Sardines aux Figatelli (Liver and Pork Sausage),7,Sunflower Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,Yes,Figatelli sausage,No,No,Unstated,115,4,No,No,No,No,No,No,Yes,No,No,None,?,1100,?,Per 100g,,
Ferrigno La Bonne Mer Sardines in Butter with Fleur de Sel from Camargue,8,Butter,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,Fleur de Sel,No,No,Unstated,115,4,No,No,No,No,No,No,Yes,No,No,None,?,800,?,Per 100g,,
Ferrigno La Bonne Mer Sardines in Butter with Persillade (Garlic and Parsley),8,Butter,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,"Garlic, Parsley",No,No,Unstated,115,4,No,No,No,Yes,No,No,Yes,No,No,None,?,800,?,Per 100g,,
Ferrigno La Bonne Mer Sardines in Butter with Thyme de Provence,8,Butter,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,Thyme de Provence,No,No,Unstated,115,4,No,No,No,No,No,No,Yes,No,No,None,?,800,?,Per 100g,,
Ferrigno La Bonne Mer Sardines in Extra Virgin Olive Oil and Fleur de Sel,7,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,Fleur de Sel,No,No,Unstated,115,4,No,No,No,No,No,No,No,No,No,None,?,850,?,Per 100g,,
Ferrigno La Bonne Mer Squid Pieces in Organic Provencal Sauce,8.5,"Extra Virgin Olive Oil, Organic",Squid,Dosidicus gigas or Loligo vulgaris,France,Ferrigno,Yes,No,Tomato,NA,NA,Unstated,100,3.52,No,No,No,No,No,Yes,No,No,Yes,None,1,1800,?,Per 100g,,
Ferrigno La Bonne Mer Wild Salmon in Water,8.5,Spring water,Salmon,Oncorhynchus mykiss,France,Ferrigno,Yes,No,None,Yes,Yes,NA,115,4,No,No,No,No,No,No,No,No,No,None,?,?,,,,
Ferrigno Les Belles de Marseille Les Pitchounettes (Small Sardines) in Extra Virgin Olive Oil,7,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,None,No,No,Unstated,115,4,No,No,No,No,No,No,No,No,No,None,?,850,?,Per 100g,,
Ferrigno Les Belles de Marseille Mackerel Fillets in Extra Virgin Olive Oil,7,Extra Virgin Olive Oil,Mackerel,Scomber colias,France,Ferrigno,Yes,No,None,Yes,Yes,Unstated,125,4.4,No,No,No,No,No,No,No,No,No,None,?,1040,?,Per 100g,,
Ferrigno Les Belles de Marseille Mackerel Fillets with Pastis,7,Extra Virgin Olive Oil,Mackerel,Scomber colias,France,Ferrigno,Yes,No,Pastis (Anise flavored liquer),Yes,Yes,Unstated,125,4.4,No,No,No,No,No,No,No,No,No,None,?,1040,?,Per 100g,,
