column,Definition,wave,level_of_analysis,section
CMP1,=1 receive food supplement last 3 months?,1,person,child social programs
CMPWN0,why did not receive food supplement?,0,person,child social programs
CMP_free0,=1 if food supplement was free,0,person,child social programs
CMP_ate0,=1 if child ate food supplement,0,person,child social programs
CMP_ate1,=1 if child ate food supplement,1,person,child social programs
CMP_ateWN0,why not ate food supplement?,0,person,child social programs
CMP_adults0,=1 if the also gave food supplement to adults at home,0,person,child social programs
CMP_animals0,=1 if they also gave food supplement to animals,0,person,child social programs
CMP_okids0,=1 gave food supplement to other kids,0,person,child social programs
CMP_sibs0,=1 if they also gave food supplement to other kids at home,0,person,child social programs
Child Development Programs (CDP),,0,,
Cprogram0,type of CDP attended,0,person,child development programs
Cprogram1,type of CDP attended,1,person,child development programs
Cprogram_days0,days in CDP,0,person,child development programs
Cprogram_days1,days in CDP,1,person,child development programs
Cprogram_hrs0,hours in CDP,0,person,child development programs
Cprogram_hrs1,hours in CDP,1,person,child development programs
Cprogram_fd0,=1 if there was food in the CDP?,0,person,child development programs
Cchildcare0,usual child caregiver,0,person,child development programs
Cchildcare1,usual child caregiver,1,person,child development programs
Cchildcare2,usual child caregiver,2,person,child development programs
Cwhodaycare02,where child was cared for during dat, 0 years old (ie less than 1 year),2,person,child development programs
Cwhodaycare12,where child was cared for during day, 1 years old,2,person,child development programs
Cwhodaycare22,where child was cared for during day, 2 years old,2,person,child development programs
Cwhodaycare32,where child was cared for during day, 3 years old,2,person,child development programs
Cwhodaycare42,where child was cared for during day, 4 years old,2,person,child development programs
Cwhodaycare52,where child was cared for during day, 5 years old,2,person,child development programs
Cwhichdaycare02,which formal daycare was child enrolled when 0 years old (ie less than 1 year)?,2,person,child development programs
Cwhichdaycare12,which formal daycare was child enrolled when 1 years old?,2,person,child development programs
Cwhichdaycare22,which formal daycare was child enrolled when 2 years old?,2,person,child development programs
Cwhichdaycare32,which formal daycare was child enrolled when 3 years old?,2,person,child development programs
Cwhichdaycare42,which formal daycare was child enrolled when 4 years old?,2,person,child development programs
Cwhichdaycare52,which formal daycare was child enrolled when 5 years old?,2,person,child development programs
Cmnthsdaycare02,number months child attended formal daycare when 0 years old (ie less than 1 yea,2,person,child development programs
Cmnthsdaycare12,number months child attended formal daycare when 1 years old,2,person,child development programs
Cmnthsdaycare22,number months child attended formal daycare when 2 years old,2,person,child development programs
Cmnthsdaycare32,number months child attended formal daycare when 3 years old,2,person,child development programs
Cmnthsdaycare42,number months child attended formal daycare when 4 years old,2,person,child development programs
Cmnthsdaycare52,number months child attended formal daycare when 5 years old,2,person,child development programs
Cattendnow02,child currently attends same daycare?,2,person,child development programs
Cattendnow12,child currently attends same daycare?,2,person,child development programs
Cattendnow22,child currently attends same daycare?,2,person,child development programs
Cattendnow32,child currently attends same daycare?,2,person,child development programs
Cattendnow42,child currently attends same daycare?,2,person,child development programs
Cattendnow52,child currently attends same daycare?,2,person,child development programs
Cformaldaycare02,=1 if enrolled in formal daycare when 0 years old (ie less than 1 year),2,person,child development programs
Cformaldaycare12,=1 if enrolled in formal daycare when 1 years old,2,person,child development programs
Cformaldaycare22,=1 if enrolled in formal daycare when 2 years old,2,person,child development programs
Cformaldaycare32,=1 if enrolled in formal daycare when 3 years old,2,person,child development programs
Cformaldaycare42,=1 if enrolled in formal daycare when 4 years old,2,person,child development programs
Cformaldaycare52,=1 if enrolled in formal daycare when 5 years old,2,person,child development programs
Quality of Home Environment (including discipline),,0,,
Cbooks0,number of children's books at hh,0,household,quality of home environment including discipline
Cbooks1,number of children's books at hh,1,household,quality of home environment including discipline
Cbooks2,number of children's books at hh,2,household,quality of home environment including discipline
Cread1,w1 someone at home reads to child,1,person,quality of home environment including discipline
Cread2,w1 someone at home reads to child,2,person,quality of home environment including discipline
Creadwho0,who reads to the child,0,person,quality of home environment including discipline
Creadtime0,hours per week reads to child ,0,person,quality of home environment including discipline
Creadtime1,hours per week reads to child ,1,person,quality of home environment including discipline
Creadtime2,hours per week reads to child ,2,person,quality of home environment including discipline
Mharshtot0,M hostility score (0 to 6),0,person,quality of home environment including discipline
Mharshtot1,M hostility score (0 to 6),1,person,quality of home environment including discipline
Mharshtot4,M hostility score (0 to 6),4,person,quality of home environment including discipline
Mcoldtot0,M coldness score (0 to 6),0,person,quality of home environment including discipline
Mcoldtot1,M coldness score (0 to 6),1,person,quality of home environment including discipline
Mcoldtot4,M coldness score (0 to 6),4,person,quality of home environment including discipline
Mhometot0,total Home Observation for Measurement of the Environment (HOME) score - 0 to 11, with higher values corresponding to less responsive and harsher behavior,0,person,quality of home environment including discipline
Mhometot1,total Home Observation for Measurement of the Environment (HOME) score - 0 to 11, with higher values corresponding to less responsive and harsher behavior,1,person,quality of home environment including discipline
Mhometot4,total Home Observation for Measurement of the Environment (HOME) score - 0 to 11, with higher values corresponding to less responsive and harsher behavior,4,person,quality of home environment including discipline
Cstory1,Does anyone in HH tell stories to or sing to child,1,person,quality of home environment including discipline
Cstory2,Does anyone in HH tell stories to or sing to child,2,person,quality of home environment including discipline
Mpunbelt1,how many times punished oldest kid with belt/other object in last 30 days,1,person,quality of home environment including discipline
Mpunslap1,how many times punished oldest kid with slaps/spanks/pinches in last 30 days,1,person,quality of home environment including discipline
Mpunyell1,how many times punished oldest kid with yells or insults in last 30 days,1,person,quality of home environment including discipline
Mpunother1,how else does punish oldest child when s/he misbehaves?,1,person,quality of home environment including discipline
Cmhit2,did mother hit child with object, last 30 days?,2,person,quality of home environment including discipline
Cmnhit2,# times mother hit with object child, last 30 days,2,person,quality of home environment including discipline
Cmshout2,did mother shout at child, last 30 days?,2,person,quality of home environment including discipline
Cmnshout2,# times mother shouted at child, last 30 days,2,person,quality of home environment including discipline
Cmspank2,did mother spank child, last 30 days?,2,person,quality of home environment including discipline
Cmnspank2,# times mother spanked child, last 30 days,2,person,quality of home environment including discipline
Cmnotv2,did mother punish by taking away games, TV, treats etc?,2,person,quality of home environment including discipline
Cmpnsho2,did mother use another form of violent punishment with child?,2,person,quality of home environment including discipline
Cmtalk2,does mother prefer not to punish child, instead talk?,2,person,quality of home environment including discipline
Cohit2,did other adult hit child with object, last 30 days?,2,person,quality of home environment including discipline
Conhit2,# times other adult hit with object child, last 30 days,2,person,quality of home environment including discipline
Coshout2,did other adult shout at child, last 30 days?,2,person,quality of home environment including discipline
Conshout2,# times other adult shouted at child, last 30 days,2,person,quality of home environment including discipline
Cospank2,did other adult spank child, last 30 days?,2,person,quality of home environment including discipline
Conspank2,# times other adult spanked child, last 30 days,2,person,quality of home environment including discipline
Conotv2,did other adult punish by taking away games, TV, treats etc?,2,person,quality of home environment including discipline
Copnsho2,did other adult use another form of violent punishment with child?,2,person,quality of home environment including discipline
Cotalk2,does other adult prefer not to punish child, instead talk?,2,person,quality of home environment including discipline
Crepeat_ever2,=1 if child ever repeat a grade,2,person,child school-related, 5 years and older
Crepeat_initial2,grade that child first repeated,2,person,child school-related, 5 years and older
Crepeat_scnd2,grade that child repeated, the second time,2,person,child school-related, 5 years and older
Cnrepeat_gr12,number of times child repeated grade 1,2,person,child school-related, 5 years and older
Cnrepeat_gr22,number of times child repeated grade 2,2,person,child school-related, 5 years and older
Cnrepeat_gr32,number of times child repeated grade 3,2,person,child school-related, 5 years and older
Cnrepeat_gr42,number of times child repeated grade 4,2,person,child school-related, 5 years and older
Cnrepeat_gr52,number of times child repeated grade 5,2,person,child school-related, 5 years and older
Cnrepeat_gr62,number of times child repeated grade 6,2,person,child school-related, 5 years and older
Cnrepeat_gr72,number of times child repeated grade 7,2,person,child school-related, 5 years and older
Cnrepeat_gr82,number of times child repeated grade 8,2,person,child school-related, 5 years and older
Cnrepeat_gr92,number of times child repeated grade 9,2,person,child school-related, 5 years and older
Cabsent2,=1 if child was absent from school, last 2 weeks,2,person,child school-related, 5 years and older
Cwhyabsent2,why was child absent from school?,2,person,child school-related, 5 years and older
Cnabsent2,number of schools days child missed, last 2 weeks?,2,person,child school-related, 5 years and older
Ctimeschool2,minutes it takes to get to school,2,person,child school-related, 5 years and older
Chwhelp2,=1 if someone helps child with homework,2,person,child school-related, 5 years and older
Chelphwline2,line number of hh member: helps w homework,2,person,child school-related, 5 years and older
Ctimehw2,minutes devoted to homework, per day,2,person,child school-related, 5 years and older
Cexp_books2,=1 if any exp: books, supplies (annual),2,person,child school-related, 5 years and older
Cexp_books_amt2,amount: book, sch materials exp (annual),2,person,child school-related, 5 years and older
Cexp_books_mnth2,=1 if any exp: books, supplies (last month),2,person,child school-related, 5 years and older
Cexp_books_mnth_amt2,amount: book, sch materials exp (last month),2,person,child school-related, 5 years and older
Cexp_bus2,=1 if any exp: sch bus (last month),2,person,child school-related, 5 years and older
Cexp_bus_amt2,amount: sch bus exp (last month),2,person,child school-related, 5 years and older
Cexp_other2,=1 if any exp: other sch costs (last month),2,person,child school-related, 5 years and older
Cexp_other_amt2,amount: other sch exp (last month),2,person,child school-related, 5 years and older
Cexp_pcommit2,=1 if any exp: sch parent committee (annual),2,person,child school-related, 5 years and older
Cexp_pcommit_amt2,amount: exp for sch parent committee (annual),2,person,child school-related, 5 years and older
Cexp_regis2,=1 if any exp: sch registration (annual),2,person,child school-related, 5 years and older
Cexp_regis_amt2,amount: sch registration exp (annual),2,person,child school-related, 5 years and older
Cexp_regis_mnth2,=1 if any exp: sch registration (last month),2,person,child school-related, 5 years and older
Cexp_regis_mnth_amt2,amount: sch registration exp (last month),2,person,child school-related, 5 years and older
Cexp_uniform2,=1 if any exp: sch uniform (annual),2,person,child school-related, 5 years and older
Cexp_uniform_amt2,amount: sch uniform exp (annual),2,person,child school-related, 5 years and older
Cwrk_h2,=1 if work on hh chores (last week),2,person,child labor
Cwrk_h_hrs2,hours worked on hh chores (last week),2,person,child labor
Cwrk_n2,=1 if work for no pay (last week),2,person,child labor
Cwrk_n_hrs2,hours worked for no pay (last week),2,person,child labor
Cwrk_p2,=1 if work for pay (last week),2,person,child labor
Cwrk_p_hrs2,hours worked for pay (last week),2,person,child labor
Cwrk_p_wage2,wage paid for work (last month),2,person,child labor
Child Assessments,,0,,
TVIP,,0,,
Ctvipcomplete0,completed the Peabody Picture Vocabulary Test (TVIP) test,0,person,child assessments,  Peabody Picture Vocabulary Test (TVIP)
Ctvipcomplete1,completed the Peabody Picture Vocabulary Test (TVIP) test,1,person,child assessments,  Peabody Picture Vocabulary Test (TVIP)
Ctvipcomplete2,completed the Peabody Picture Vocabulary Test (TVIP) test,2,person,child assessments,  Peabody Picture Vocabulary Test (TVIP)
Ctvipcomplete3,completed the Peabody Picture Vocabulary Test (TVIP) test,3,person,child assessments,  Peabody Picture Vocabulary Test (TVIP)
Ctvipcomplete4,completed the Peabody Picture Vocabulary Test (TVIP) test,4,person,child assessments,  Peabody Picture Vocabulary Test (TVIP)
Ctvipwhynot1,why Peabody Picture Vocabulary Test (TVIP) not completed,1,person,child assessments,  Peabody Picture Vocabulary Test (TVIP)
Ctvipwhynot2,why Peabody Picture Vocabulary Test (TVIP) not completed,2,person,child assessments,  Peabody Picture Vocabulary Test (TVIP)
Ctvipwhynot3,why Peabody Picture Vocabulary Test (TVIP) not completed,3,person,child assessments,  Peabody Picture Vocabulary Test (TVIP)
Ctvipwhynot4,why Peabody Picture Vocabulary Test (TVIP) not completed,4,person,child assessments,  Peabody Picture Vocabulary Test (TVIP)
Ctviptot0,raw Peabody Picture Vocabulary Test (TVIP) score,0,person,child assessments,  Peabody Picture Vocabulary Test (TVIP)
Ctviptot1,raw Peabody Picture Vocabulary Test (TVIP) score,1,person,child assessments,  Peabody Picture Vocabulary Test (TVIP)
Ctviptot2,raw Peabody Picture Vocabulary Test (TVIP) score,2,person,child assessments,  Peabody Picture Vocabulary Test (TVIP)
Ctviptot3,raw Peabody Picture Vocabulary Test (TVIP) score,3,person,child assessments,  Peabody Picture Vocabulary Test (TVIP)
Ctviptot4,raw Peabody Picture Vocabulary Test (TVIP) score,4,person,child assessments,  Peabody Picture Vocabulary Test (TVIP)
Cstdtvip0,standarized Peabody Picture Vocabulary Test (TVIP) score ,0,person,child assessments,  Peabody Picture Vocabulary Test (TVIP)
Cstdtvip1,standarized Peabody Picture Vocabulary Test (TVIP) score ,1,person,child assessments,  Peabody Picture Vocabulary Test (TVIP)
Cstdtvip2,standarized Peabody Picture Vocabulary Test (TVIP) score ,2,person,child assessments,  Peabody Picture Vocabulary Test (TVIP)
Ctviptot0_k,standardized Peabody Picture Vocabulary Test (TVIP) score (non parametric),0,person,child assessments,  Peabody Picture Vocabulary Test (TVIP)
Ctviptot1_k,standardized Peabody Picture Vocabulary Test (TVIP) score (non parametric),1,person,child assessments,  Peabody Picture Vocabulary Test (TVIP)
Ctviptot2_k,standardized Peabody Picture Vocabulary Test (TVIP) score (non parametric),2,person,child assessments,  Peabody Picture Vocabulary Test (TVIP)
Ctviptot3_k,standardized Peabody Picture Vocabulary Test (TVIP) score (non parametric),3,person,child assessments,  Peabody Picture Vocabulary Test (TVIP)
Ctviptot4_k,standardized Peabody Picture Vocabulary Test (TVIP) score (non parametric),4,person,child assessments,  Peabody Picture Vocabulary Test (TVIP)
Household (observation),,0,,
SANbarn0,=1 if barn/animals near house,0,household,household observations
SANbarn1,=1 if barn/animals near house,1,household,household observations
SANbarn2,=1 if barn/animals near house,2,household,household observations
SANexcr0,=1 if excrement in yard,0,household,household observations
SANexcr1,=1 if excrement in yard,1,household,household observations
SANexcr2,=1 if excrement in yard,2,household,household observations
SANgarb0,=1 if garbage around house,0,household,household observations
SANgarb1,=1 if garbage around house,1,household,household observations
SANgarb2,=1 if garbage around house,2,household,household observations
SANvent0,=1 if lack of ventilation,0,household,household observations
SANvent1,=1 if lack of ventilation,1,household,household observations
SANvent2,=1 if lack of ventilation,2,household,household observations
SANwatr0,=1 if standing water around house,0,household,household observations
SANwatr1,=1 if standing water around house,1,household,household observations
SANwatr2,=1 if standing water around house,2,household,household observations
SANyard0,=1 if yard not clean,0,household,household observations
SANyard1,=1 if yard not clean,1,household,household observations
SANyard2,=1 if yard not clean,2,household,household observations
Chaz0,Height-age z-score,0,person,child assessments,  anthropometry
Chaz1,Height-age z-score,1,person,child assessments,  anthropometry
Chaz2,Height-age z-score,2,person,child assessments,  anthropometry
Cwaz0,Weight-age z-score,0,person,child assessments,  anthropometry
Cwaz1,Weight-age z-score,1,person,child assessments,  anthropometry
Cwaz2,Weight-age z-score,2,person,child assessments,  anthropometry
Cwhz0,Weight-height z-score,0,person,child assessments,  anthropometry
Cwhz1,Weight-height z-score,1,person,child assessments,  anthropometry
Cwhz2,Weight-height z-score,2,person,child assessments,  anthropometry
Cstunted0,haz<-2,0,person,child assessments,  anthropometry
Cstunted1,haz<-2,1,person,child assessments,  anthropometry
Cstunted2,haz<-2,2,person,child assessments,  anthropometry
Cwasted0,whz<-2,0,person,child assessments,  anthropometry
Cwasted1,whz<-2,1,person,child assessments,  anthropometry
Cwasted2,whz<-2,2,person,child assessments,  anthropometry
Cbmi1,body mass index,1,person,child assessments,  anthropometry
Cbmi2,body mass index,2,person,child assessments,  anthropometry
Cpbcomplete1,=1 if completed the Pegboard test,1,person,child assessments,  pegboard test
Cpbcomplete2,=1 if completed the Pegboard test,2,person,child assessments,  pegboard test
Cpbwhynot1,why Pegboard test not completed,1,person,child assessments,  pegboard test
Cpbwhynot2,why Pegboard test not completed,2,person,child assessments,  pegboard test
Cpbint1,during pegboard test, child was,1,person,child assessments,  pegboard test
Cpbint2,during pegboard test, child was,2,person,child assessments,  pegboard test
Cpbavg_dom1,average of dominant hand Pegboard scores,1,person,child assessments,  pegboard test
Cpbavg_dom2,average of dominant hand Pegboard scores,2,person,child assessments,  pegboard test
Cpbavg_nd1,average of non-dominant hand Pegboard scores,1,person,child assessments,  pegboard test
Cpbavg_nd2,average of non-dominant hand Pegboard scores,2,person,child assessments,  pegboard test
Cbmcomplete1,completed the Barrera-Moncada (B-M) test,1,person,child assessments,  Barrera-Moncada Test
Cbmwhynot1,why Barrera-Moncada (B-M) test not completed,1,person,child assessments,  Barrera-Moncada Test
Cbmscore1,raw score for Barrera-Moncada (B-M) test,1,person,child assessments,  Barrera-Moncada Test
Cbmpct1,percent of 'yes' responses for Barrera-Moncada (B-M) test,1,person,child assessments,  Barrera-Moncada Test
Cbmallyes1,reached all dev. milestones on Barrera-Moncada (B-M) test,1,person,child assessments,  Barrera-Moncada Test
Cbmint1,during Barrera-Moncada test, child was,1,person,child assessments,  Barrera-Moncada Test
Cmaccomplete1,=1 if completed the MacArthur test,1,person,child assessments,  Mac Arther test
Cmacwhynot1,why MacArthur test not completed,1,person,child assessments,  Mac Arther test
Cmacscore1,MacArthur test raw score,1,person,child assessments,  Mac Arther test
Cmacpct1,MacArthur percent 'yes',1,person,child assessments,  Mac Arther test
Cbpicomplete1,=1 if completed the Behavior Problems Inventory (BPI) behavioral test,1,person,child assessments,  Behavior Problems Inventory test
Cbpiwhynot1,why Behavior Problems Inventory (BPI) behavioral test not completed,1,person,child assessments,  Behavior Problems Inventory test
Cbpiint1,during Behavior Problems Inventory (BPI) test, child was,1,person,child assessments,  Behavior Problems Inventory test
Cbpitotal_a1,total BPI score - sum of question scores,1,person,child assessments,  Behavior Problems Inventory test
CbpiAggr_a1,Behavior Problems Inventory (BPI) aggression sub-scale score - sum of question scores,1,person,child assessments,  Behavior Problems Inventory test
CbpiAnx_a1,Behavior Problems Inventory (BPI) anxiety sub-scale score - sum of question scores,1,person,child assessments,  Behavior Problems Inventory test
CbpiOth_a1,Behavior Problems Inventory (BPI) other sub-scale score - sum of question scores,1,person,child assessments,  Behavior Problems Inventory test
FAManswer2,during int, parent respond to kids' fond words, at least once?,2,person,child assessments,  family relations
FAMcpresent2,was at least one child present during interview?,2,person,child assessments,  family relations
FAMforbid2,during int, parent forbid child from doing something, at least three times?,2,person,child assessments,  family relations
FAMhit2,during int, did parent hit a child?,2,person,child assessments,  family relations
FAMhostile2,during int, was parent annoyed or hostility to kids?,2,person,child assessments,  family relations
FAMkiss2,during int, did parent kiss a child, at least once?,2,person,child assessments,  family relations
FAMpositive2,during int, when parent spoke to kids, was tone positive?,2,person,child assessments,  family relations
FAMpraise2,during int, did parent praise kids, at least twice?,2,person,child assessments,  family relations
FAMscold2,during int, did parent scold, critisize a child?,2,person,child assessments,  family relations
FAMshout2,during int, did parent shout at any child?,2,person,child assessments,  family relations
FAMteach2,during int, parent teach a kid about object/person, at least twice?,2,person,child assessments,  family relations
FAMwords2,during int, parent say fond words to kids, at least twice?,2,person,child assessments,  family relations
CSDQtotal3,Strenghts and Difficulties (S&D) total score,3,person,child assessments,  Strengths and Difficulties test
CSDQtotal4,Strenghts and Difficulties (S&D) total score,4,person,child assessments,  Strengths and Difficulties test
sdCSDQtotal3,Strenghts and Difficulties (S&D) standardized total score,3,person,child assessments,  Strengths and Difficulties test
sdCSDQtotal4,Strenghts and Difficulties (S&D) standardized total score,4,person,child assessments,  Strengths and Difficulties test
CSDQemot3,Strenghts and Difficulties (S&D) emotional symptoms score,3,person,child assessments,  Strengths and Difficulties test
CSDQemot4,Strenghts and Difficulties (S&D) emotional symptoms score,4,person,child assessments,  Strengths and Difficulties test
sdCSDQemot3,Strenghts and Difficulties (S&D) standardized emotional symptoms score,3,person,child assessments,  Strengths and Difficulties test
sdCSDQemot4,Strenghts and Difficulties (S&D) standardized emotional symptoms score,4,person,child assessments,  Strengths and Difficulties test
CSDQcond3,Strenghts and Difficulties (S&D) conduct problem score,3,person,child assessments,  Strengths and Difficulties test
CSDQcond4,Strenghts and Difficulties (S&D) conduct problem score,4,person,child assessments,  Strengths and Difficulties test
sdCSDQcond3,Strenghts and Difficulties (S&D) standardized conduct problem score,3,person,child assessments,  Strengths and Difficulties test
sdCSDQcond4,Strenghts and Difficulties (S&D) standardized conduct problem score,4,person,child assessments,  Strengths and Difficulties test
CSDQhyp3,Strenghts and Difficulties (S&D) hyperactivity score,3,person,child assessments,  Strengths and Difficulties test
CSDQhyp4,Strenghts and Difficulties (S&D) hyperactivity score,4,person,child assessments,  Strengths and Difficulties test
sdCSDQhyp3,Strenghts and Difficulties (S&D) standardized hyperactivity score,3,person,child assessments,  Strengths and Difficulties test
sdCSDQhyp4,Strenghts and Difficulties (S&D) standardized hyperactivity score,4,person,child assessments,  Strengths and Difficulties test
CSDQpprob3,Strenghts and Difficulties (S&D) peer problem score,3,person,child assessments,  Strengths and Difficulties test
CSDQpprob4,Strenghts and Difficulties (S&D) peer problem score,4,person,child assessments,  Strengths and Difficulties test
sdCSDQpprob3,Strenghts and Difficulties (S&D) standardized peer problem score,3,person,child assessments,  Strengths and Difficulties test
sdCSDQpprob4,Strenghts and Difficulties (S&D) standardized peer problem score,4,person,child assessments,  Strengths and Difficulties test
CSDQpros3,Strenghts and Difficulties (S&D) prosocial behavior score,3,person,child assessments,  Strengths and Difficulties test
CSDQpros4,Strenghts and Difficulties (S&D) prosocial behavior score,4,person,child assessments,  Strengths and Difficulties test
sdCSDQpros3,Strenghts and Difficulties (S&D) standardized prosocial behavior score,3,person,child assessments,  Strengths and Difficulties test
sdCSDQpros4,Strenghts and Difficulties (S&D) standardized prosocial behavior score,4,person,child assessments,  Strengths and Difficulties test
Ccolypalraw13,Colors and words-1 raw score,3,person,child assessments,  Color and Words test
Ccolypalraw23,Colors and words-2 raw score,3,person,child assessments,  Color and Words test
Ccolypalraw33,Colors and words-3 raw score,3,person,child assessments,  Color and Words test
Ccolypalraw33_k,Colors and words-3 standardized score (non parametric),3,person,child assessments,  Color and Words test
CEATQtot3,Early Adolescent Temperament Questionnaire (EATQ-R) raw total,3,person,child assessments,  Early Adolescent Temperament Questionnaire
sdCEATQtot3,Early Adolescent Temperament Questionnaire (EATQ-R) standardized total,3,person,child assessments,  Early Adolescent Temperament Questionnaire
CEATQfrust3,Early Adolescent Temperament Questionnaire (EATQ-R) frustration scale,3,person,child assessments,  Early Adolescent Temperament Questionnaire
sdCEATQfrust3,Early Adolescent Temperament Questionnaire (EATQ-R) standardized frustration,3,person,child assessments,  Early Adolescent Temperament Questionnaire
CEATQsurg3,Early Adolescent Temperament Questionnaire (EATQ-R) pleasure scale,3,person,child assessments,  Early Adolescent Temperament Questionnaire
sdCEATQsurg3,Early Adolescent Temperament Questionnaire (EATQ-R) standardized pleasure,3,person,child assessments,  Early Adolescent Temperament Questionnaire
CWJ1complete1,=1 if completed the Woodcock-Johnson test for names,1,person,child assessments,  Woodcock-Johnson test of memory for names
CWJ1complete2,=1 if completed the Woodcock-Johnson test for names,2,person,child assessments,  Woodcock-Johnson test of memory for names
CWJ1complete3,=1 if completed the Woodcock-Johnson test for names,3,person,child assessments,  Woodcock-Johnson test of memory for names
CWJ1whynot1,why Woodcock-Johnson test for names not completed,1,person,child assessments,  Woodcock-Johnson test of memory for names
CWJ1whynot2,why Woodcock-Johnson test for names not completed,2,person,child assessments,  Woodcock-Johnson test of memory for names
CWJ1whynot3,why Woodcock-Johnson test for names not completed,3,person,child assessments,  Woodcock-Johnson test of memory for names
CWJ1int1,during WJ1 names test, child was,1,person,child assessments,  Woodcock-Johnson test of memory for names
CWJ1int2,during WJ1 names test, child was,2,person,child assessments,  Woodcock-Johnson test of memory for names
CWJ1int3,during WJ1 names test, child was,3,person,child assessments,  Woodcock-Johnson test of memory for names
CWJ1pct1,WJ1 names percentile,1,person,child assessments,  Woodcock-Johnson test of memory for names
CWJ1pct2,WJ1 names percentile,2,person,child assessments,  Woodcock-Johnson test of memory for names
CWJ1pct3,WJ1 names percentile,3,person,child assessments,  Woodcock-Johnson test of memory for names
CWJ1tot1,WJ1 names raw score,1,person,child assessments,  Woodcock-Johnson test of memory for names
CWJ1tot2,WJ1 names raw score,2,person,child assessments,  Woodcock-Johnson test of memory for names
CWJ1tot3,WJ1 names raw score,3,person,child assessments,  Woodcock-Johnson test of memory for names
CWJ1tot1_k,WJ1 names standardized score (non parametric),1,person,child assessments,  Woodcock-Johnson test of memory for names
CWJ1tot2_k,WJ1 names standardized score (non parametric),2,person,child assessments,  Woodcock-Johnson test of memory for names
CWJ1tot3_k,WJ1 names standardized score (non parametric),3,person,child assessments,  Woodcock-Johnson test of memory for names
CWJ2complete1,=1 if completed the Woodcock-Johnson test for sentences,1,person,child assessments,  Woodcock-Johnson test of memory for sentences
CWJ2whynot1,why Woodcock-Johnson test for sentences not completed,1,person,child assessments,  Woodcock-Johnson test of memory for sentences
CWJ2int1,during WJ2 sentences test, child was,1,person,child assessments,  Woodcock-Johnson test of memory for sentences
CWJ2pct1,WJ2 sentences percentile,1,person,child assessments,  Woodcock-Johnson test of memory for sentences
CWJ2tot1,WJ2 sentences raw score,1,person,child assessments,  Woodcock-Johnson test of memory for sentences
CWJ5complete1,=1 if completed the Woodcock-Johnson visual integration,1,person,child assessments,  Woodcock-Johnson test of memory for visual integration
CWJ5complete2,=1 if completed the Woodcock-Johnson visual integration,2,person,child assessments,  Woodcock-Johnson test of memory for visual integration
CWJ5complete3,=1 if completed the Woodcock-Johnson visual integration,3,person,child assessments,  Woodcock-Johnson test of memory for visual integration
CWJ5whynot1,why Woodcock-Johnson test for visial integration not completed,1,person,child assessments,  Woodcock-Johnson test of memory for visual integration
CWJ5whynot2,why Woodcock-Johnson test for visial integration not completed,2,person,child assessments,  Woodcock-Johnson test of memory for visual integration
CWJ5whynot3,why Woodcock-Johnson test for visial integration not completed,3,person,child assessments,  Woodcock-Johnson test of memory for visual integration
CWJ5int1,during WJ5 visual integration test, child was,1,person,child assessments,  Woodcock-Johnson test of memory for visual integration
CWJ5int2,during WJ5 visual integration test, child was,2,person,child assessments,  Woodcock-Johnson test of memory for visual integration
CWJ5int3,during WJ5 visual integration test, child was,3,person,child assessments,  Woodcock-Johnson test of memory for visual integration
CWJ5pct1,WJ5 visual integration percentile,1,person,child assessments,  Woodcock-Johnson test of memory for visual integration
CWJ5pct2,WJ5 visual integration percentile,2,person,child assessments,  Woodcock-Johnson test of memory for visual integration
CWJ5pctile3,WJ5 visual integration percentile,3,person,child assessments,  Woodcock-Johnson test of memory for visual integration
CWJ5tot1,WJ5 visual integration raw score,1,person,child assessments,  Woodcock-Johnson test of memory for visual integration
CWJ5tot2,WJ5 visual integration raw score,2,person,child assessments,  Woodcock-Johnson test of memory for visual integration
CWJ5tot3,WJ5 visual integration raw score,3,person,child assessments,  Woodcock-Johnson test of memory for visual integration
CWJ5tot1_k,WJ5 visual integration standardized score (non parametric),1,person,child assessments,  Woodcock-Johnson test of memory for visual integration
CWJ5tot2_k,WJ5 visual integration standardized score (non parametric),2,person,child assessments,  Woodcock-Johnson test of memory for visual integration
CWJ5tot3_k,WJ5 visual integration standardized score (non parametric),3,person,child assessments,  Woodcock-Johnson test of memory for visual integration
Cdmcomplete2,=1 if completed the digit memory test,2,person,child assessments,  Digit Memory test
Cdmcomplete3,=1 if completed the digit memory test,3,person,child assessments,  Digit Memory test
Cdmcomplete4,=1 if completed the digit memory test,4,person,child assessments,  Digit Memory test
Cdmwhynot2,why digit memory test not completed,2,person,child assessments,  Digit Memory test
Cdmwhynot3,why digit memory test not completed,3,person,child assessments,  Digit Memory test
Cdmwhynot4,why digit memory test not completed,4,person,child assessments,  Digit Memory test
Cdmint3,during digit memory test, child was,3,person,child assessments,  Digit Memory test
Cdmint4,during digit memory test, child was,4,person,child assessments,  Digit Memory test
Cdm1_tot2,raw score part 1 of digit memory test,2,person,child assessments,  Digit Memory test
Cdm1_tot3,raw score part 1 of digit memory test,3,person,child assessments,  Digit Memory test
Cdm1_tot4,raw score part 1 of digit memory test,4,person,child assessments,  Digit Memory test
Cdm2_tot2,raw score part 2 of digit memory test,2,person,child assessments,  Digit Memory test
Cdm2_tot3,raw score part 2 of digit memory test,3,person,child assessments,  Digit Memory test
