anio,edad,pais,departamento,region,ciudad,genero,estadocivil,hogar,hijos,educacion,actividad,q10,q11,q12,q13,q14,q15r1,q15r2,q15r3,q15r4,q16r1,q16r2,q16r3,q17,tratamiento,q18,q19,q20,q21,q22r1,q22r2,q22r3,q23r1,q23r2,q23r3,q23r4,q23r5,q23r6,q23r7,q23r8,q24r1,q24r2,q24r3,q24r4,q24r5,q25a1,q25a2,q25a3,q25a4,q25a5,q25a6,q25a7,q25a8,q25a9,q25a1d
1971,50 a 64 años,México,Distrito Federal,Centro,CDMX,Femenino,Casado(a) / Unión Civil,5,Sí,Media incompleta,A cargo de las tareas del hogar/ crianza de los hijos,3,No,No,5,Entre 7.300 y 11.300,No los tendría como vecinos,,Los tendría como vecinos,,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Falta de esfuerzo por su parte,Emotivo,Entre 5 y 10,Entre 5 y 10,Algo de acuerdo,Una organización que defiende los derechos de las mujeres.,Depende,Depende,Depende,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,Algo de acuerdo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,De acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,
1971,50 a 64 años,México,Oaxaca,Sur,Loma bonita,Femenino,Soltero(a),3,Sí,Básica completa,Empleado(a) de tiempo parcial (menos de 8 horas por día),1 - Más pobres,Sí,No,2,Entre 0 y 7.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Circunstancias fuera de su control,Placebo,Menos de 5,No sabe / Prefiere no contestar,Algo de acuerdo,Una organización que defiende los derechos de las mujeres.,Bueno,Bueno,Bueno,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,
1952,Más de 65 años,México,Coahuila,Norte,Saltillo,Masculino,Casado(a) / Unión Civil,3,Sí,Terciaria/Universitaria incompleta,Jubilado(a) / pensionado(a),2,No,Sí,6,Entre 7.300 y 11.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,Algo en desacuerdo,Algo de acuerdo,Falta de esfuerzo por su parte,Informativo,Entre 20 y 30,Entre 10 y 20,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Depende,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,En desacuerdo,En desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,,,,,,,,Ninguna relación,,
1936,Más de 65 años,México,Tabasco,Sur,Villahermosa,Masculino,Separado(a) / Divorciado(a) / Viudo(a),1,Sí,Terciaria/Universitaria incompleta,Prefiere no contestar,No sabe / Prefiere no contestar,No,No sabe / Prefiere no contestar,6,No sabe / No contesta,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,Algo de acuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,Placebo,Entre 5 y 10,Entre 5 y 10,De acuerdo,No sabe / Prefiere no contestar,Depende,Depende,Depende,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Algo en desacuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,,,,,,,,Ninguna relación,,
1987,30 a 49 años,México,Baja California,Pacífico,Tijuana,Masculino,Soltero(a),3,Prefiere no contestar,Media completa,Empleado(a) de tiempo completo (8 horas por día o más),2,Sí,No,5,Entre 7.300 y 11.300,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,Algo en desacuerdo,Falta de esfuerzo por su parte,Placebo,Entre 10 y 20,Menos de 5 personas,De acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Bueno,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Algo en desacuerdo,Algo en desacuerdo,En desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,"Si, otro",,,"[Si, otro ]En el trabajo"
1977,30 a 49 años,México,Nuevo León,Norte,general zuazua,Masculino,Casado(a) / Unión Civil,4,Sí,Terciaria/Universitaria incompleta,Empleado(a) de tiempo completo (8 horas por día o más),5 - Más ricos,No,No,5,Entre 7.300 y 11.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Falta de esfuerzo por su parte,Informativo,Menos de 5,Entre 20 y 30,De acuerdo,Una organización que ayuda a las personas migrantes.,Bueno,Depende,Bueno,Algo de acuerdo,De acuerdo,Algo de acuerdo,Algo en desacuerdo,En desacuerdo,De acuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,,,,,,,"Si, otro",,,"[Si, otro ]en la calle y en las ayudas comunitarias."
1943,Más de 65 años,México,Aguascalientes,Norte,Agyascalientes mexico,Femenino,Separado(a) / Divorciado(a) / Viudo(a),2,Sí,Prefiere no contestar,Jubilado(a) / pensionado(a),2,No,Sí,10 - Derecha,No sabe / No contesta,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,De acuerdo,De acuerdo,De acuerdo,Falta de esfuerzo por su parte,Emotivo,Más de 30,Más de 30,De acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Depende,Depende,Algo de acuerdo,No sabe / Prefiere no contestar,En desacuerdo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Algo de acuerdo,En desacuerdo,No sabe / Prefiere no contestar,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,
1992,18 a 29 años,México,México,Centro,Estado de México,Masculino,Casado(a) / Unión Civil,4,No,Básica incompleta,Empleado(a) de tiempo completo (8 horas por día o más),1 - Más pobres,Sí,No,No sabe / Prefiere no contestar,Entre 7.300 y 11.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,De acuerdo,Circunstancias fuera de su control,Emotivo,Entre 5 y 10,Menos de 5 personas,Algo de acuerdo,Una organización que ayuda a las personas migrantes.,Bueno,Bueno,Bueno,De acuerdo,No sabe / Prefiere no contestar,En desacuerdo,En desacuerdo,En desacuerdo,No sabe / Prefiere no contestar,En desacuerdo,No sabe / Prefiere no contestar,De acuerdo,De acuerdo,De acuerdo,Algo de acuerdo,De acuerdo,,,,,,,,Ninguna relación,,
1972,30 a 49 años,México,Distrito Federal,Centro,Azcapotzalco,Masculino,Soltero(a),4,No,Terciaria/Universitaria completa o más,Desempleado(a) y buscando trabajo,3,Sí,No,5,Más de 25.100,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,Algo en desacuerdo,De acuerdo,Falta de esfuerzo por su parte,Informativo,Entre 20 y 30,Entre 10 y 20,Algo de acuerdo,Una organización que defiende los derechos de las mujeres.,Depende,Depende,Depende,Algo de acuerdo,Algo de acuerdo,En desacuerdo,Algo en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,"Si, como mis empleadores",,"Si, como mis vecinos",,,,
1984,30 a 49 años,México,Jalisco,Pacífico,Zapopan,Masculino,Casado(a) / Unión Civil,6,Sí,Media completa,"Negocio propio, independiente o por cuenta propia",2,No,No,0 - Izquierda,Más de 25.100,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,En desacuerdo,De acuerdo,De acuerdo,Falta de esfuerzo por su parte,Placebo,Menos de 5,Entre 5 y 10,De acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Bueno,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,
1955,Más de 65 años,México,Chihuahua,Norte,"juarez, chihuahua",Masculino,Casado(a) / Unión Civil,5,Sí,Terciaria/Universitaria completa o más,Jubilado(a) / pensionado(a),4,No,No,4,Entre 11.300 y 16.400,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,Algo en desacuerdo,Circunstancias fuera de su control,Placebo,Entre 5 y 10,No sabe / Prefiere no contestar,Algo en desacuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Bueno,De acuerdo,De acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,
1966,50 a 64 años,México,Distrito Federal,Centro,Ciudad de México,Masculino,Casado(a) / Unión Civil,3,Sí,Media completa,"Negocio propio, independiente o por cuenta propia",3,No,No,3,Entre 16.400 y 25.100,Los tendría como vecinos,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,Algo de acuerdo,Falta de esfuerzo por su parte,Emotivo,Menos de 5,Menos de 5 personas,De acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,No sabe / Prefiere no contestar,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,,,,,,,,Ninguna relación,,
1963,50 a 64 años,México,Sinaloa,Pacífico,Culiacan,Masculino,Casado(a) / Unión Civil,3,Sí,Terciaria/Universitaria completa o más,Jubilado(a) / pensionado(a),3,No,No,8,Más de 25.100,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Falta de esfuerzo por su parte,Placebo,Entre 10 y 20,Entre 5 y 10,De acuerdo,Una organización que protege el medio ambiente.,Bueno,Bueno,Bueno,De acuerdo,Algo de acuerdo,En desacuerdo,Algo en desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos",,,,,,,,,
1979,30 a 49 años,México,Tamaulipas,Norte,Reynosa,Masculino,Casado(a) / Unión Civil,3,Sí,Media completa,Empleado(a) de tiempo completo (8 horas por día o más),2,No,No,2,Entre 16.400 y 25.100,No los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,Algo de acuerdo,De acuerdo,Falta de esfuerzo por su parte,Informativo,Entre 5 y 10,Más de 30,De acuerdo,No donaría a nadie.,Bueno,Bueno,Bueno,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,No sabe / Prefiere no contestar,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,
1953,Más de 65 años,México,México,Centro,Estado de México,Femenino,Separado(a) / Divorciado(a) / Viudo(a),6,Sí,Media completa,Jubilado(a) / pensionado(a),3,No,No,5,Entre 7.300 y 11.300,No sabe / Prefiere no contestar,,,Los tendría como vecinos,Algo de acuerdo,De acuerdo,Algo de acuerdo,Circunstancias fuera de su control,Informativo,Entre 5 y 10,Entre 20 y 30,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,,,,,,,,Ninguna relación,,
1954,Más de 65 años,México,Chihuahua,Norte,Delicias,Femenino,Soltero(a),1,Sí,Terciaria/Universitaria completa o más,Jubilado(a) / pensionado(a),3,No,No,10 - Derecha,Entre 11.300 y 16.400,Los tendría como vecinos,,,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Circunstancias fuera de su control,Placebo,Entre 5 y 10,Menos de 5 personas,Algo de acuerdo,Una organización que defiende los derechos de las mujeres.,Malo,Depende,Depende,En desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,En desacuerdo,En desacuerdo,Algo en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,"Si, otro",,,"[Si, otro ]\apoyamos grupos de migran tes con desayunos 1 vez al mes"
1980,30 a 49 años,México,Guerrero,Pacífico,Iguala de la Independencia,Femenino,Prefiere no contestar,10,Prefiere no contestar,Media incompleta,A cargo de las tareas del hogar/ crianza de los hijos,2,Sí,No,8,Entre 0 y 7.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,Algo en desacuerdo,Falta de esfuerzo por su parte,Emotivo,Entre 5 y 10,Más de 30,De acuerdo,No donaría a nadie.,Bueno,Bueno,Bueno,Algo en desacuerdo,Algo de acuerdo,En desacuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,
1983,30 a 49 años,México,Yucatán,Sur,Merida,Masculino,Soltero(a),2,No,Terciaria/Universitaria completa o más,No trabaja ni busca trabajo,3,No,No,3,Entre 11.300 y 16.400,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Circunstancias fuera de su control,Informativo,Menos de 5,Más de 30,Algo en desacuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,En desacuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,En desacuerdo,De acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)","Si, como mis empleados o prestadores de servicios para mi",,,"Si, como mis vecinos",,,,
1996,18 a 29 años,México,Chihuahua,Norte,Chihuahua,Masculino,Casado(a) / Unión Civil,6,Sí,Terciaria/Universitaria incompleta,Empleado(a) de tiempo completo (8 horas por día o más),3,No,No,5,Entre 11.300 y 16.400,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo en desacuerdo,En desacuerdo,Algo en desacuerdo,Falta de esfuerzo por su parte,Placebo,Entre 10 y 20,Entre 5 y 10,En desacuerdo,No donaría a nadie.,Depende,Depende,Depende,Algo en desacuerdo,Algo en desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,
1959,50 a 64 años,México,Quintana Roo,Sur,Can cun,Masculino,Prefiere no contestar,3,Sí,Terciaria/Universitaria completa o más,"Negocio propio, independiente o por cuenta propia",3,No,No,10 - Derecha,Más de 25.100,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Placebo,Menos de 5,Entre 5 y 10,De acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,No sabe / Prefiere no contestar,De acuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,Algo de acuerdo,En desacuerdo,No sabe / Prefiere no contestar,Algo de acuerdo,No sabe / Prefiere no contestar,Algo de acuerdo,De acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos",,,,
1950,Más de 65 años,México,Baja California,Pacífico,Tecate baja california norte,Masculino,Separado(a) / Divorciado(a) / Viudo(a),5,Sí,Media completa,"Negocio propio, independiente o por cuenta propia",2,No,Sí,0 - Izquierda,Entre 0 y 7.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Falta de esfuerzo por su parte,Placebo,Menos de 5,Entre 10 y 20,De acuerdo,Una organización que protege el medio ambiente.,Bueno,Bueno,Bueno,De acuerdo,De acuerdo,Algo en desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos",,,,
1961,50 a 64 años,México,Nuevo León,Norte,Monterrey,Masculino,Casado(a) / Unión Civil,3,Sí,Terciaria/Universitaria incompleta,Jubilado(a) / pensionado(a),3,No,No,5,Más de 25.100,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,Algo de acuerdo,En desacuerdo,Falta de esfuerzo por su parte,Informativo,Menos de 5,Más de 30,De acuerdo,Una organización que protege el medio ambiente.,Bueno,Depende,Depende,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,En desacuerdo,En desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,De acuerdo,,,,,,,"Si, otro",,,"[Si, otro ]nuera"
1970,50 a 64 años,México,Oaxaca,Sur,Tuxtepec oaxaca,Femenino,Prefiere no contestar,4,Sí,Básica completa,"Negocio propio, independiente o por cuenta propia",1 - Más pobres,Sí,No,No sabe / Prefiere no contestar,Entre 0 y 7.300,No los tendría como vecinos,No los tendría como vecinos,No los tendría como vecinos,,De acuerdo,De acuerdo,De acuerdo,Circunstancias fuera de su control,Placebo,Entre 5 y 10,Menos de 5 personas,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,Algo en desacuerdo,En desacuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,,,,,,,,,Prefiere no contestar,
1994,18 a 29 años,México,Chiapas,Sur,Tuxtla gutierrez,Masculino,Casado(a) / Unión Civil,2,No,Terciaria/Universitaria completa o más,Empleado(a) de tiempo completo (8 horas por día o más),2,No,No,2,Entre 7.300 y 11.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Placebo,Entre 5 y 10,Entre 5 y 10,De acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Bueno,Algo de acuerdo,De acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,"Si, otro",,,"[Si, otro ]Son parte de la sociedad en la que vivo, algunos tienen trabajos, negocios."
1969,50 a 64 años,México,Coahuila,Norte,Acuña,Femenino,Casado(a) / Unión Civil,5,Sí,Media completa,Empleado(a) de tiempo parcial (menos de 8 horas por día),2,Sí,No,4,Entre 7.300 y 11.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo en desacuerdo,Algo de acuerdo,En desacuerdo,Circunstancias fuera de su control,Emotivo,Menos de 5,Menos de 5 personas,Algo de acuerdo,Una organización que defiende los derechos de las mujeres.,Depende,Depende,Depende,Algo de acuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,En desacuerdo,Algo de acuerdo,De acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,,,,,,,"Si, otro",,,"[Si, otro ]Solo de paso por la ciudad"
1960,50 a 64 años,México,Jalisco,Pacífico,Guadalajara,Femenino,Soltero(a),1,No,Terciaria/Universitaria completa o más,"Negocio propio, independiente o por cuenta propia",4,No,No,9,Entre 16.400 y 25.100,No los tendría como vecinos,No los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Circunstancias fuera de su control,Placebo,Más de 30,Menos de 5 personas,De acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,De acuerdo,Algo de acuerdo,En desacuerdo,En desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,"Si, como mis vecinos",,,,
1961,50 a 64 años,México,Puebla,Centro,Puebla,Masculino,Separado(a) / Divorciado(a) / Viudo(a),3,Sí,Terciaria/Universitaria incompleta,Jubilado(a) / pensionado(a),3,No,No,1,Entre 7.300 y 11.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,En desacuerdo,Algo en desacuerdo,En desacuerdo,Circunstancias fuera de su control,Emotivo,Entre 5 y 10,Menos de 5 personas,Algo de acuerdo,No donaría a nadie.,Bueno,Depende,Depende,Algo de acuerdo,Algo de acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,,,,,,,,Ninguna relación,,
1975,30 a 49 años,México,Durango,Norte,Lerdo Dgo,Masculino,Casado(a) / Unión Civil,2,Sí,Media incompleta,Empleado(a) de tiempo completo (8 horas por día o más),2,No,No,10 - Derecha,Entre 11.300 y 16.400,No los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,Algo en desacuerdo,Falta de esfuerzo por su parte,Informativo,Entre 5 y 10,Más de 30,De acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Bueno,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Algo en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,"Si, otro",,,"[Si, otro ]Esposo de una clienta en mi trabajo"
1946,Más de 65 años,México,Campeche,Sur,Ciudad Del Carmen,Femenino,Casado(a) / Unión Civil,3,No,Media incompleta,Jubilado(a) / pensionado(a),2,No,No,6,Entre 11.300 y 16.400,,,,No sabe / Prefiere no contestar,Algo en desacuerdo,De acuerdo,Algo en desacuerdo,Circunstancias fuera de su control,Placebo,Más de 30,Menos de 5 personas,De acuerdo,Una organización que protege el medio ambiente.,Malo,Depende,Depende,En desacuerdo,En desacuerdo,Algo en desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,,,,,,,,Ninguna relación,,
1960,50 a 64 años,México,Jalisco,Pacífico,Zapopan.,Masculino,Casado(a) / Unión Civil,3,Sí,Terciaria/Universitaria completa o más,Desempleado(a) y buscando trabajo,2,No,No,6,Entre 7.300 y 11.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Circunstancias fuera de su control,Placebo,Menos de 5,Menos de 5 personas,De acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,De acuerdo,Algo de acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Algo de acuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,"Si, otro",,,"[Si, otro ]Con personas a las que les doy alimentos."
1969,50 a 64 años,México,Quintana Roo,Sur,Cancun,Femenino,Casado(a) / Unión Civil,2,No,Media incompleta,"Negocio propio, independiente o por cuenta propia",3,No,No,0 - Izquierda,Entre 11.300 y 16.400,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Algo de acuerdo,Algo de acuerdo,De acuerdo,No sabe / Prefiere no contestar,Informativo,Más de 30,Entre 10 y 20,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,En desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,,,,,,,,Ninguna relación,,
1961,50 a 64 años,México,Nuevo León,Norte,Escobedo,Masculino,Casado(a) / Unión Civil,3,Sí,Media completa,"Negocio propio, independiente o por cuenta propia",3,No,No,5,Entre 7.300 y 11.300,No sabe / Prefiere no contestar,,,,De acuerdo,De acuerdo,De acuerdo,Falta de esfuerzo por su parte,Emotivo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,De acuerdo,No sabe / Prefiere no contestar,Bueno,Depende,Bueno,Algo de acuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,En desacuerdo,Algo en desacuerdo,De acuerdo,En desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,
1978,30 a 49 años,México,Jalisco,Pacífico,San Miguel el alto,Masculino,Casado(a) / Unión Civil,6,Sí,Media completa,Empleado(a) de tiempo completo (8 horas por día o más),3,No,No,5,Entre 7.300 y 11.300,No sabe / Prefiere no contestar,,,,De acuerdo,De acuerdo,Algo de acuerdo,Circunstancias fuera de su control,Placebo,Entre 5 y 10,Menos de 5 personas,De acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,No sabe / Prefiere no contestar,Algo de acuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,En desacuerdo,Algo de acuerdo,Algo de acuerdo,,,,,,,,Ninguna relación,,
1970,50 a 64 años,México,Veracruz,Sur,Veracruz,Masculino,Soltero(a),1,No,Media incompleta,Empleado(a) de tiempo completo (8 horas por día o más),2,Sí,No,4,Entre 0 y 7.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Placebo,Entre 5 y 10,Entre 5 y 10,De acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Bueno,De acuerdo,De acuerdo,Algo de acuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,
