anio,edad,pais,departamento,region,ciudad,genero,estadocivil,hogar,hijos,educacion,actividad,q10,q11,q12,q13,q14,q15r1,q15r2,q15r3,q15r4,q16r1,q16r2,q16r3,q17,q18,q19,q32,q20,q22r1,q22r2,q22r3,q23r1,q23r2,q23r3,q23r4,q23r5,q23r6,q23r7,q23r8,q24r1,q24r2,q24r3,q24r4,q24r5,q25a1,q25a2,q25a3,q25a4,q25a5,q25a6,q25a7,q25a8,q25a9,q25a1d,tratamiento
1981,30 a 49 años,Republica Dominicana,La Romana,Zona 3,Santo domingo,Masculino,Soltero(a),2,No,Secundaria completa,Empleado(a) de tiempo completo (8 horas por día o más),3,No,No,5,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,De acuerdo,De acuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,Entre 5 y 10,Más de 30,Algo en desacuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,En desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,Algo de acuerdo,Algo en desacuerdo,De acuerdo,En desacuerdo,Algo de acuerdo,De acuerdo,En desacuerdo,Algo de acuerdo,De acuerdo,,,,,,,,Ninguna relación,,,Placebo
1961,50 a 64 años,Republica Dominicana,La Altagracia,Zona 3,Higuey,Masculino,Soltero(a),3,Sí,Universitaria incompleta,"Negocio propio, independiente o por cuenta propia",3,No,No,6,Entre 28.000 y 38.000,No los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,En desacuerdo,De acuerdo,De acuerdo,Falta de esfuerzo por su parte,Entre 10 y 20,Menos de 5 personas,Algo de acuerdo,Una organización que protege el medio ambiente.,Malo,Depende,Malo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,"Si, como mis empleados o prestadores de servicios para mi",,,,,,,,Placebo
1986,30 a 49 años,Republica Dominicana,Santo Domingo,Zona 1,EL almirante,Masculino,Soltero(a),4,Sí,Secundaria completa,Desempleado(a) y buscando trabajo,2,Sí,No,2,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,De acuerdo,De acuerdo,De acuerdo,Falta de esfuerzo por su parte,Entre 5 y 10,No sabe / Prefiere no contestar,De acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Bueno,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,No sabe / Prefiere no contestar,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,,,,,,,"Si, otro",,,"[Si, otro ]Vendedores de ropas de pacas",Placebo
2000,18 a 29 años,Republica Dominicana,La Romana,Zona 3,La Romana,Masculino,Casado(a) / Unión Libre,3,Sí,Universitaria incompleta,Empleado(a) de tiempo completo (8 horas por día o más),3,No,No,6,Entre 20.000 y 28.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Circunstancias fuera de su control,Entre 10 y 20,Entre 5 y 10,De acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Depende,De acuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,En desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,"Si, como mis vecinos",,,,,Placebo
1970,50 a 64 años,Republica Dominicana,Puerto Plata,Zona 4,Puerto plata,Masculino,Casado(a) / Unión Libre,5,Sí,Secundaria incompleta,Empleado(a) de tiempo completo (8 horas por día o más),2,Sí,No,10 - Derecha,Entre 0 y 20.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,Algo de acuerdo,Falta de esfuerzo por su parte,Entre 20 y 30,Entre 20 y 30,De acuerdo,Una organización que ayuda a las personas migrantes.,Bueno,Bueno,Bueno,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)","Si, como mis empleados o prestadores de servicios para mi","Si, como mis empleadores","Si, como mi pareja","Si, como mis vecinos",,,,,Placebo
2002,18 a 29 años,Republica Dominicana,La Romana,Zona 3,La romana,Femenino,Casado(a) / Unión Libre,3,Sí,Secundaria completa,A cargo de las tareas del hogar/ crianza de los hijos,1 - Más pobres,Sí,No,10 - Derecha,Entre 0 y 20.000,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Entre 20 y 30,Entre 5 y 10,Algo de acuerdo,Una organización que defiende los derechos de las mujeres.,Depende,Bueno,Bueno,Algo en desacuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,Algo de acuerdo,Algo en desacuerdo,De acuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos",,,,,Placebo
1991,30 a 49 años,Republica Dominicana,Duarte,Zona 3,En castillo sanfrancisco de macorix,Femenino,Casado(a) / Unión Libre,4,Sí,Secundaria completa,Empleado(a) de tiempo completo (8 horas por día o más),3,Sí,Sí,0 - Izquierda,Entre 0 y 20.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,De acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,De acuerdo,Algo de acuerdo,De acuerdo,No sabe / Prefiere no contestar,Algo en desacuerdo,Algo de acuerdo,En desacuerdo,No sabe / Prefiere no contestar,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,"Si, como mis vecinos",,,,,Placebo
1978,30 a 49 años,Republica Dominicana,Puerto Plata,Zona 4,Sosúa,Femenino,Casado(a) / Unión Libre,3,Sí,Universitaria incompleta,Empleado(a) de tiempo completo (8 horas por día o más),2,Sí,No,7,Entre 0 y 20.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,Algo en desacuerdo,Circunstancias fuera de su control,Entre 5 y 10,Entre 20 y 30,De acuerdo,Una organización que defiende los derechos de las mujeres.,Bueno,Bueno,Bueno,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,En desacuerdo,En desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,"Si, como mis empleadores",,,,,,,Placebo
1984,30 a 49 años,Republica Dominicana,Santiago,Zona 4,Santiago,Masculino,Soltero(a),5,Sí,Secundaria incompleta,Empleado(a) de tiempo completo (8 horas por día o más),3,No,No,5,Entre 20.000 y 28.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,No sabe / Prefiere no contestar,Circunstancias fuera de su control,Entre 5 y 10,No sabe / Prefiere no contestar,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Depende,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Algo de acuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,De acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos",,,,,Placebo
1984,30 a 49 años,Republica Dominicana,La Altagracia,Zona 3,La altagracia,Femenino,Casado(a) / Unión Libre,5,Sí,Secundaria incompleta,Desempleado(a) y buscando trabajo,1 - Más pobres,Sí,No,2,Entre 20.000 y 28.000,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,Algo en desacuerdo,No sabe / Prefiere no contestar,Más de 30,Entre 5 y 10,De acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Depende,De acuerdo,Algo de acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Algo de acuerdo,En desacuerdo,Algo en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos",,,,,Placebo
1998,18 a 29 años,Republica Dominicana,La Vega,Zona 4,Jarabacoa,Femenino,Soltero(a),4,No,Universitaria incompleta,Empleado(a) de tiempo completo (8 horas por día o más),3,No,Sí,6,Entre 28.000 y 38.000,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,En desacuerdo,No sabe / Prefiere no contestar,Entre 10 y 20,Menos de 5 personas,De acuerdo,Una organización que ayuda a las personas pobres.,Depende,Bueno,Bueno,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,En desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)","Si, como mis empleados o prestadores de servicios para mi",,,,"Si, otro",,,"[Si, otro ]Soy maestra y he trabajado con hijos de inmigrantes de diferentes países durante muchos años, también alguno de mis compañeros de trabajo son migrantes que están recibiendo en el país de manera legal, pero igualmente visto y empleado personas migrantes en algunas tareas domésticas, cómo cortar el césped",Placebo
1979,30 a 49 años,Republica Dominicana,Santo Domingo,Zona 1,Santo Domingo este,Femenino,Soltero(a),2,Sí,Universitaria completa o más,Empleado(a) de tiempo completo (8 horas por día o más),2,No,No,5,Entre 38.000 y 57.000,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,En desacuerdo,De acuerdo,Algo en desacuerdo,Circunstancias fuera de su control,Entre 5 y 10,Más de 30,De acuerdo,Una organización que ayuda a las personas pobres.,Depende,Bueno,Depende,Algo en desacuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,Algo en desacuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,Algo en desacuerdo,De acuerdo,De acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,,Placebo
1965,50 a 64 años,Republica Dominicana,La Altagracia,Zona 3,Higuey,Masculino,Casado(a) / Unión Libre,5,Sí,Universitaria completa o más,Empleado(a) de tiempo parcial (menos de 8 horas por día),3,No,No,8,Más de 57.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Falta de esfuerzo por su parte,Entre 5 y 10,Menos de 5 personas,De acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,Algo de acuerdo,De acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,,Placebo
1995,18 a 29 años,Republica Dominicana,La Vega,Zona 4,Jarabacoa,Masculino,Soltero(a),2,No,Universitaria completa o más,Desempleado(a) y buscando trabajo,2,No,No,5,Entre 0 y 20.000,No los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,Algo en desacuerdo,Circunstancias fuera de su control,Entre 10 y 20,Entre 5 y 10,No sabe / Prefiere no contestar,Una organización que ayuda a las personas migrantes.,Bueno,Bueno,Bueno,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,En desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,,Placebo
1991,30 a 49 años,Republica Dominicana,La Altagracia,Zona 3,Higuey,Masculino,Casado(a) / Unión Libre,3,Sí,Secundaria incompleta,Empleado(a) de tiempo completo (8 horas por día o más),2,No sabe / Prefiere no contestar,No,No sabe / Prefiere no contestar,Entre 0 y 20.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Entre 20 y 30,Entre 10 y 20,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,Algo de acuerdo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Algo de acuerdo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,De acuerdo,De acuerdo,No sabe / Prefiere no contestar,De acuerdo,De acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos",,,,,Placebo
1971,50 a 64 años,Republica Dominicana,Santo Domingo,Zona 1,Stop Digo oeste,Masculino,Casado(a) / Unión Libre,5,Sí,Secundaria incompleta,"Negocio propio, independiente o por cuenta propia",2,Sí,No,No sabe / Prefiere no contestar,Entre 20.000 y 28.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,Algo en desacuerdo,Circunstancias fuera de su control,Entre 5 y 10,Entre 5 y 10,De acuerdo,Una organización que ayuda a las personas pobres.,Depende,Bueno,Bueno,Algo en desacuerdo,De acuerdo,De acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos",,,,,,,,,,Placebo
1993,18 a 29 años,Republica Dominicana,San José de Ocoa,Zona 2,San José de Ocoa,Femenino,Prefiere no contestar,4,Sí,Universitaria completa o más,A cargo de las tareas del hogar/ crianza de los hijos,2,Sí,No,3,Entre 0 y 20.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Entre 20 y 30,No sabe / Prefiere no contestar,De acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,Algo en desacuerdo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,,,,,,,,Ninguna relación,,,Placebo
2000,18 a 29 años,Republica Dominicana,Santiago,Zona 4,Santiago De los caballeros,Masculino,Soltero(a),4,No,Secundaria completa,Estudiante,2,No sabe / Prefiere no contestar,No,2,Entre 0 y 20.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,Algo en desacuerdo,Circunstancias fuera de su control,Entre 5 y 10,Entre 5 y 10,De acuerdo,Una organización que protege el medio ambiente.,Bueno,Bueno,Bueno,Algo de acuerdo,De acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos",,,,,Placebo
1991,30 a 49 años,Republica Dominicana,Santo Domingo,Zona 1,Moca,Femenino,Casado(a) / Unión Libre,6,Sí,Secundaria completa,Empleado(a) de tiempo completo (8 horas por día o más),2,Sí,No,No sabe / Prefiere no contestar,Entre 0 y 20.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Más de 30,Entre 10 y 20,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,En desacuerdo,Algo de acuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Algo de acuerdo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,De acuerdo,De acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,,Placebo
1986,30 a 49 años,Republica Dominicana,Monte Plata,Zona 3,Peralvillo,Masculino,Casado(a) / Unión Libre,4,Sí,Universitaria completa o más,Empleado(a) de tiempo completo (8 horas por día o más),3,No,No,2,Entre 28.000 y 38.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo en desacuerdo,De acuerdo,Algo en desacuerdo,Circunstancias fuera de su control,Entre 5 y 10,Más de 30,Algo en desacuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,De acuerdo,De acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,,,"Si, como mis empleados o prestadores de servicios para mi",,,,,,,,Placebo
1995,18 a 29 años,Republica Dominicana,Santiago,Zona 4,Santiago,Masculino,Soltero(a),1,No,Secundaria completa,Empleado(a) de tiempo completo (8 horas por día o más),2,Sí,No,6,Entre 20.000 y 28.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,Algo de acuerdo,Algo de acuerdo,Falta de esfuerzo por su parte,Entre 10 y 20,Menos de 5 personas,No sabe / Prefiere no contestar,Una organización que protege el medio ambiente.,Depende,Depende,Depende,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Algo de acuerdo,Algo de acuerdo,En desacuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,"Si, como mis vecinos","Si, otro",,,"[Si, otro ]Personas p",Placebo
1999,18 a 29 años,Republica Dominicana,Barahona,Zona 2,Barahona,Femenino,Casado(a) / Unión Libre,3,Sí,Universitaria incompleta,Empleado(a) de tiempo completo (8 horas por día o más),2,Sí,No,5,Entre 0 y 20.000,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Algo de acuerdo,De acuerdo,Algo en desacuerdo,Circunstancias fuera de su control,Más de 30,Entre 10 y 20,Algo de acuerdo,Una organización que ayuda a las personas pobres.,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,En desacuerdo,De acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,,Placebo
1997,18 a 29 años,Republica Dominicana,María Trinidad Sánchez,Zona 3,Nagua,Masculino,Soltero(a),6,No,Universitaria incompleta,Empleado(a) de tiempo completo (8 horas por día o más),3,No,No,5,Entre 28.000 y 38.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Entre 10 y 20,Entre 10 y 20,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Depende,Bueno,Depende,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,,Placebo
1979,30 a 49 años,Republica Dominicana,Puerto Plata,Zona 4,Puerto Plata,Femenino,Soltero(a),2,Sí,Secundaria completa,Empleado(a) de tiempo completo (8 horas por día o más),3,Sí,No,6,Entre 0 y 20.000,No los tendría como vecinos,No los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Falta de esfuerzo por su parte,Más de 30,Entre 10 y 20,Algo de acuerdo,Una organización que protege el medio ambiente.,Bueno,Depende,Depende,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,"Si, como mis amigos",,,,,,,,,,Placebo
1982,30 a 49 años,Republica Dominicana,Santo Domingo,Zona 1,Santo Domingo,Femenino,Casado(a) / Unión Libre,5,Sí,Secundaria completa,Empleado(a) de tiempo completo (8 horas por día o más),1 - Más pobres,Sí,No,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Más de 30,Más de 30,De acuerdo,Una organización que ayuda a las personas migrantes.,Depende,Depende,Depende,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,En desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,,Placebo
1973,30 a 49 años,Republica Dominicana,La Romana,Zona 3,La Romana,Masculino,Casado(a) / Unión Libre,4,Sí,Universitaria incompleta,"Negocio propio, independiente o por cuenta propia",3,Sí,No,4,Más de 57.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,En desacuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Entre 10 y 20,No sabe / Prefiere no contestar,En desacuerdo,Una organización que protege el medio ambiente.,Depende,Depende,Depende,En desacuerdo,En desacuerdo,En desacuerdo,Algo de acuerdo,En desacuerdo,Algo de acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,"Si, como mis amigos",,"Si, como mis empleados o prestadores de servicios para mi",,,"Si, como mis vecinos",,,,,Placebo
1979,30 a 49 años,Republica Dominicana,Distrito Nacional,Zona 1,Santo domingo,Femenino,Casado(a) / Unión Libre,4,Sí,Universitaria completa o más,Desempleado(a) y buscando trabajo,3,No,No,0 - Izquierda,Entre 28.000 y 38.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,Algo de acuerdo,Circunstancias fuera de su control,Entre 10 y 20,Entre 20 y 30,Algo de acuerdo,Una organización que defiende los derechos de las mujeres.,Bueno,Bueno,Bueno,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,En desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,,Placebo
1989,30 a 49 años,Republica Dominicana,Santo Domingo,Zona 1,Santo Domingo Este,Femenino,Casado(a) / Unión Libre,4,Sí,Universitaria completa o más,Empleado(a) de tiempo parcial (menos de 8 horas por día),3,No,No,6,Entre 28.000 y 38.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,En desacuerdo,Algo de acuerdo,En desacuerdo,No sabe / Prefiere no contestar,Más de 30,Entre 20 y 30,Algo en desacuerdo,Una organización que ayuda a las personas pobres.,Depende,Bueno,Bueno,En desacuerdo,Algo en desacuerdo,En desacuerdo,De acuerdo,Algo en desacuerdo,En desacuerdo,Algo de acuerdo,En desacuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos",,,,,Placebo
1986,30 a 49 años,Republica Dominicana,Distrito Nacional,Zona 1,Santo Domingo,Femenino,Soltero(a),5,Sí,Universitaria completa o más,Desempleado(a) y buscando trabajo,2,Sí,No,No sabe / Prefiere no contestar,Entre 0 y 20.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,En desacuerdo,De acuerdo,Algo en desacuerdo,Falta de esfuerzo por su parte,Entre 10 y 20,Entre 10 y 20,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,Algo de acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Algo de acuerdo,De acuerdo,En desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,,Placebo
1990,30 a 49 años,Republica Dominicana,Hermanas Mirabal,Zona 4,Santiago,Masculino,Soltero(a),3,No,Universitaria incompleta,Estudiante,3,No,No,7,Entre 20.000 y 28.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,Algo en desacuerdo,De acuerdo,Circunstancias fuera de su control,Menos de 5,Menos de 5 personas,Algo en desacuerdo,Una organización que ayuda a las personas pobres.,Depende,Bueno,Depende,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,No sabe / Prefiere no contestar,Algo de acuerdo,Algo en desacuerdo,En desacuerdo,Algo de acuerdo,Algo en desacuerdo,En desacuerdo,En desacuerdo,Algo en desacuerdo,"Si, como mis amigos",,,,,,,,,,Placebo
1987,30 a 49 años,Republica Dominicana,La Vega,Zona 4,La vega,Femenino,Soltero(a),5,Sí,Secundaria completa,Empleado(a) de tiempo completo (8 horas por día o más),3,Sí,No,6,Entre 20.000 y 28.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Circunstancias fuera de su control,Entre 20 y 30,Menos de 5 personas,Algo de acuerdo,Una organización que ayuda a las personas migrantes.,Bueno,Bueno,Bueno,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos",,,,,,"Si, otro",,,"[Si, otro ]En mi ambiente laboral les brindo mi servicio como enfermera",Placebo
